# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          A0517_LKAP-FHGF1_B01_013 -               23     951       5     927       1     939    1474    +           0 1057.4  15.7  -
Enterobacteriaceae        -          A0517_LKAP-FHGF1_B01_013 -               23     943       5     929       1     940    1465    +    1.9e-283  939.0  15.5  -
Yersiniaceae              -          A0517_LKAP-FHGF1_B01_013 -               23     943       5     929       1     940    1473    +      3e-283  938.2  15.5  -
Erwiniaceae               -          A0517_LKAP-FHGF1_B01_013 -               18     938       5     929       1     940    1483    +      4e-281  931.2  15.5  -
Pectobacteriaceae         -          A0517_LKAP-FHGF1_B01_013 -               20     940       5     929       1     940    1477    +    1.3e-279  926.1  15.6  -
Aeromonadaceae            -          A0517_LKAP-FHGF1_B01_013 -               35     957       5     929       1     940    1496    +    1.9e-279  925.4  15.5  -
Alteromonadales           -          A0517_LKAP-FHGF1_B01_013 -               24     942       6     927       2     939    1468    +    3.9e-279  924.3  15.8  -
Ferrimonadaceae           -          A0517_LKAP-FHGF1_B01_013 -               23     953       5     929       1     940    1475    +    1.8e-276  915.5  15.6  -
Hafniaceae                -          A0517_LKAP-FHGF1_B01_013 -               18     937       6     929       2     940    1459    +      5e-276  914.1  15.6  -
Shewanellaceae            -          A0517_LKAP-FHGF1_B01_013 -               22     945       4     929       1     940    1483    +    5.1e-274  907.6  15.5  -
Gammaproteobacteria       -          A0517_LKAP-FHGF1_B01_013 -               23     939       5     926       2     939    1481    +    7.6e-274  906.9  15.6  -
Morganellaceae            -          A0517_LKAP-FHGF1_B01_013 -               26     946       5     929       1     940    1487    +    1.1e-273  906.7  15.5  -
Pseudoalteromonadaceae    -          A0517_LKAP-FHGF1_B01_013 -               22     937       4     927       1     939    1469    +    3.1e-272  901.6  15.0  -
Alteromonadaceae          -          A0517_LKAP-FHGF1_B01_013 -               23     939       5     926       1     937    1468    +    8.7e-271  896.8  16.1  -
Budviciaceae              -          A0517_LKAP-FHGF1_B01_013 -               11     933       4     929       1     940    1483    +    1.5e-270  896.1  15.5  -
Idiomarinaceae            -          A0517_LKAP-FHGF1_B01_013 -               23     950       5     935       2     940    1466    +    7.4e-270  893.6  15.3  -
Psychromonadaceae         -          A0517_LKAP-FHGF1_B01_013 -               24     943       6     929       2     940    1467    +      2e-263  872.6  15.6  -
Colwelliaceae             -          A0517_LKAP-FHGF1_B01_013 -               24     944       6     929       2     940    1467    +    7.5e-263  870.7  15.5  -
Moritellaceae             -          A0517_LKAP-FHGF1_B01_013 -               39     960       6     929       2     940    1501    +    1.8e-262  869.2  15.5  -
Oceanospirillaceae        -          A0517_LKAP-FHGF1_B01_013 -               24     941       6     926       2     939    1467    +    4.5e-261  864.6  15.6  -
Thorselliaceae            -          A0517_LKAP-FHGF1_B01_013 -                6     912      14     929      10     940    1419    +      7e-260  860.7  16.1  -
Oceanospirillales         -          A0517_LKAP-FHGF1_B01_013 -               29     945       5     926       1     939    1489    +    2.3e-255  845.6  15.7  -
Chromatiaceae             -          A0517_LKAP-FHGF1_B01_013 -               23     931       5     928       1     940    1455    +    5.2e-254  841.4  15.5  -
Cellvibrionaceae          -          A0517_LKAP-FHGF1_B01_013 -               23     940       5     927       1     940    1472    +    8.9e-254  840.5  15.4  -
Pseudomonadaceae          -          A0517_LKAP-FHGF1_B01_013 -               29     944       4     926       1     939    1491    +    1.5e-253  839.7  15.6  -
Piscirickettsiaceae       -          A0517_LKAP-FHGF1_B01_013 -               26     946       6     929       1     940    1466    +    1.4e-251  833.1  15.3  -
Pasteurellaceae           -          A0517_LKAP-FHGF1_B01_013 -               24     942       6     927       2     939    1422    +    1.7e-251  833.0  15.8  -
Alcanivoracaceae          -          A0517_LKAP-FHGF1_B01_013 -               43     960       5     927       2     939    1504    +    2.2e-251  832.4  15.4  -
Celerinatantimonadaceae   -          A0517_LKAP-FHGF1_B01_013 -               19     950       6     929       2     940    1433    +    6.2e-250  827.9  15.5  -
Orbaceae                  -          A0517_LKAP-FHGF1_B01_013 -               51     967       6     929       2     940    1539    +    1.2e-246  816.8  15.6  -
Succinivibrionaceae       -          A0517_LKAP-FHGF1_B01_013 -               27     918       6     927       2     939    1473    +    2.3e-246  815.9  16.2  -
Lysobacteraceae           -          A0517_LKAP-FHGF1_B01_013 -               24     943       5     927       1     939    1484    +    1.5e-245  813.3  15.7  -
Methylococcaceae          -          A0517_LKAP-FHGF1_B01_013 -               38     950       6     929       2     940    1481    +    6.4e-245  811.1  15.2  -
Halothiobacillaceae       -          A0517_LKAP-FHGF1_B01_013 -               38     961       4     929       1     940    1500    +    1.8e-244  809.7  15.4  -
Hahellaceae               -          A0517_LKAP-FHGF1_B01_013 -               24     938       6     926       1     939    1473    +    1.5e-243  806.7  15.8  -
Thermoleophilaceae        -          A0517_LKAP-FHGF1_B01_013 -               13     941       3     926       1     938    1494    +    5.8e-242  801.3  15.8  -
Halieaceae                -          A0517_LKAP-FHGF1_B01_013 -               30     943       5     929       1     940    1484    +    3.2e-241  798.8  15.3  -
Ectothiorhodospiraceae    -          A0517_LKAP-FHGF1_B01_013 -               30     946       5     926       2     939    1463    +    1.2e-240  797.1  15.7  -
