# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               19     880      15     872       7     872    1491    +           0 1038.1  18.5  -
Bacillales                -          LKAP-TSAKG2_H09_065_2018_2 -               26     893      15     872       8     872    1503    +    1.4e-293  972.5  18.5  -
Staphylococcaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               20     880      14     872       6     872    1479    +    3.6e-290  961.1  18.2  -
Bacillaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               16     885      13     871       4     872    1493    +    2.1e-288  955.3  18.4  -
Listeriaceae              -          LKAP-TSAKG2_H09_065_2018_2 -                8     865      17     871      11     872    1448    +    2.2e-285  945.4  18.4  -
Sporolactobacillaceae     -          LKAP-TSAKG2_H09_065_2018_2 -               19     877      15     872       7     872    1503    +    3.2e-284  941.3  18.5  -
Carnobacteriaceae         -          LKAP-TSAKG2_H09_065_2018_2 -               18     883      14     872       6     872    1496    +    3.1e-280  928.2  18.3  -
Aerococcaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               19     883      15     872       7     872    1473    +    1.8e-277  919.0  18.5  -
Enterococcaceae           -          LKAP-TSAKG2_H09_065_2018_2 -               19     888      15     872       7     872    1498    +    3.5e-275  911.5  18.4  -
Paenibacillaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               20     884      15     871       7     872    1493    +    5.2e-273  904.3  18.2  -
Lactobacillaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               21     911      14     872       7     872    1522    +    1.1e-268  890.0  18.4  -
Thermoactinomycetaceae    -          LKAP-TSAKG2_H09_065_2018_2 -               26     882      14     872       8     872    1495    +    9.8e-264  873.7  18.3  -
Peptococcaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               26     856      15     872       7     872    1479    +    2.3e-248  822.3  18.2  -
Clostridiaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               32     858      14     871       8     872    1485    +    1.7e-245  812.9  17.5  -
Leuconostocaceae          -          LKAP-TSAKG2_H09_065_2018_2 -               15     884      15     872       8     872    1479    +    4.5e-245  811.7  18.6  -
Alicyclobacillaceae       -          LKAP-TSAKG2_H09_065_2018_2 -               38     885      14     871       8     872    1512    +    5.2e-244  808.4  18.5  -
Eubacteriaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               33     869      15     871      10     872    1485    +    4.1e-242  801.7  18.3  -
