# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-GUTHK2_C04_028_2017_1 -               25    1198       2    1143       1    1145    1526    +           0 1196.8  18.9  -
Bacillaceae_Salinibacillus                       -          LKAP-GUTHK2_C04_028_2017_1 -               10    1185       2    1143       1    1145    1471    +    4.1e-297  987.3  19.0  -
Bacillaceae_Virgibacillus                        -          LKAP-GUTHK2_C04_028_2017_1 -               11    1189       1    1143       1    1145    1519    +      6e-297  986.7  19.0  -
Bacillaceae_Pontibacillus                        -          LKAP-GUTHK2_C04_028_2017_1 -                7    1169      13    1143       7    1145    1469    +    7.5e-295  979.6  18.0  -
Bacillaceae_Aquibacillus                         -          LKAP-GUTHK2_C04_028_2017_1 -               29    1204       2    1143       1    1145    1524    +    3.3e-294  977.4  18.9  -
Bacillaceae_Oceanobacillus                       -          LKAP-GUTHK2_C04_028_2017_1 -               12    1187       2    1143       1    1145    1508    +    7.5e-294  976.4  19.0  -
Bacillaceae_Ornithinibacillus                    -          LKAP-GUTHK2_C04_028_2017_1 -               12    1185       2    1143       1    1145    1482    +    2.4e-290  964.7  19.0  -
Planococcaceae_Kurthia                           -          LKAP-GUTHK2_C04_028_2017_1 -               12    1175       2    1143       1    1145    1479    +    3.6e-290  963.9  17.9  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-GUTHK2_C04_028_2017_1 -               32    1204       2    1143       1    1145    1553    +      9e-290  962.9  19.2  -
Bacillaceae_Lentibacillus                        -          LKAP-GUTHK2_C04_028_2017_1 -                2    1179       2    1143       1    1145    1470    +    7.1e-289  960.0  18.9  -
Planococcaceae_Ureibacillus                      -          LKAP-GUTHK2_C04_028_2017_1 -               19    1182       2    1143       1    1145    1497    +    7.5e-289  959.6  17.3  -
Bacillaceae_Scopulibacillus                      -          LKAP-GUTHK2_C04_028_2017_1 -               35    1206       5    1143       1    1145    1555    +    1.2e-288  958.9  18.7  -
Bacillaceae_Gracilibacillus                      -          LKAP-GUTHK2_C04_028_2017_1 -               14    1189       2    1143       1    1145    1511    +    4.6e-287  953.9  18.9  -
Bacillaceae_Anoxybacillus                        -          LKAP-GUTHK2_C04_028_2017_1 -               13    1165       2    1132       1    1145    1495    +    4.6e-287  953.8  17.3  -
Bacillaceae_Sediminibacillus                     -          LKAP-GUTHK2_C04_028_2017_1 -                2    1171      11    1143      10    1145    1478    +    8.7e-287  952.9  17.8  -
Bacillaceae_Domibacillus                         -          LKAP-GUTHK2_C04_028_2017_1 -               12    1174       2    1143       1    1145    1476    +    2.9e-286  951.2  17.9  -
Bacillaceae_Thalassobacillus                     -          LKAP-GUTHK2_C04_028_2017_1 -               19    1196       2    1143       1    1145    1506    +      4e-286  950.8  19.0  -
Bacillaceae_Lysinibacillus                       -          LKAP-GUTHK2_C04_028_2017_1 -               13    1177       3    1143       1    1145    1476    +    8.3e-286  949.5  17.6  -
Bacillaceae_Amphibacillus                        -          LKAP-GUTHK2_C04_028_2017_1 -               12    1191       2    1143       1    1145    1490    +      1e-284  946.0  18.9  -
Planococcaceae_Sporosarcina                      -          LKAP-GUTHK2_C04_028_2017_1 -               12    1173       2    1143       1    1145    1504    +    6.1e-284  943.4  17.5  -
Bacillales_Rummeliibacillus                      -          LKAP-GUTHK2_C04_028_2017_1 -               12    1171       2    1143       1    1145    1473    +    1.7e-283  941.9  17.5  -
Bacillaceae_Terribacillus                        -          LKAP-GUTHK2_C04_028_2017_1 -                7    1178       3    1143       1    1145    1472    +    6.2e-283  940.2  18.7  -
