# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_C07_059_2018_2 -               18     854      13     847       6     847    1491    +           0 1054.5  14.5  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_C07_059_2018_2 -               10     840      13     847       7     847    1446    +    1.2e-279  928.7  14.6  -
Alteromonadaceae_Marinobacterium                 -          LKAP-TSAKG2_C07_059_2018_2 -               18     858      13     847       6     847    1465    +    1.1e-253  842.7  14.5  -
Alteromonadaceae_Marinobacter                    -          LKAP-TSAKG2_C07_059_2018_2 -               17     856      12     847       6     847    1478    +    1.3e-251  835.8  14.5  -
Halomonadaceae_Halomonas                         -          LKAP-TSAKG2_C07_059_2018_2 -               27     857      20     847       7     847    1463    +    6.3e-251  833.5  14.5  -
Moraxellaceae_Acinetobacter                      -          LKAP-TSAKG2_C07_059_2018_2 -               14     850      13     847       6     847    1463    +    6.5e-248  823.7  14.4  -
Pseudomonadaceae_Pseudomonas                     -          LKAP-TSAKG2_C07_059_2018_2 -               35     862      21     847       8     847    1502    +    6.1e-247  820.3  14.4  -
Halomonadaceae_Chromohalobacter                  -          LKAP-TSAKG2_C07_059_2018_2 -               28     856      21     847       9     847    1480    +      1e-245  816.3  14.4  -
Oceanospirillaceae_Marinomonas                   -          LKAP-TSAKG2_C07_059_2018_2 -               18     858      13     847       6     847    1467    +    1.6e-244  812.1  14.8  -
Alcanivoracaceae_Pseudohongiella                 -          LKAP-TSAKG2_C07_059_2018_2 -               18     856      13     847       6     847    1461    +    5.4e-244  810.5  14.6  -
Oceanospirillaceae_Amphritea                     -          LKAP-TSAKG2_C07_059_2018_2 -               19     856      14     847       8     847    1463    +    5.2e-242  803.9  14.5  -
Halomonadaceae_Cobetia                           -          LKAP-TSAKG2_C07_059_2018_2 -               27     868      10     847       5     847    1516    +    5.4e-241  800.6  14.4  -
