# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-GUTHK2_B04_030_2017_1 -               23     984       6     966       3     966    1526    +           0 1159.4  32.9  -
Bacillaceae_Pontibacillus                        -          LKAP-GUTHK2_B04_030_2017_1 -               12     957      21     966      13     966    1469    +    4.9e-291  966.7  31.5  -
Bacillaceae_Salinibacillus                       -          LKAP-GUTHK2_B04_030_2017_1 -                8     973       6     966       3     966    1471    +    2.1e-290  964.8  32.9  -
Bacillaceae_Aquibacillus                         -          LKAP-GUTHK2_B04_030_2017_1 -               27     992       6     966       2     966    1524    +    1.4e-288  958.6  32.7  -
Bacillaceae_Virgibacillus                        -          LKAP-GUTHK2_B04_030_2017_1 -               10     977       6     966       3     966    1519    +    1.6e-288  958.5  32.6  -
Bacillaceae_Oceanobacillus                       -          LKAP-GUTHK2_B04_030_2017_1 -               10     975       6     966       3     966    1508    +    2.4e-287  954.6  32.6  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-GUTHK2_B04_030_2017_1 -               30     990       6     966       3     966    1553    +    3.7e-284  944.0  33.4  -
Bacillaceae_Anoxybacillus                        -          LKAP-GUTHK2_B04_030_2017_1 -               12     962       7     966       3     966    1495    +      4e-284  943.8  30.8  -
Bacillaceae_Gracilibacillus                      -          LKAP-GUTHK2_B04_030_2017_1 -               13     977       7     966       2     966    1511    +    3.1e-283  940.9  32.5  -
Bacillaceae_Scopulibacillus                      -          LKAP-GUTHK2_B04_030_2017_1 -               42     992      19     966       3     966    1555    +    4.6e-283  940.2  32.5  -
Bacillaceae_Ornithinibacillus                    -          LKAP-GUTHK2_B04_030_2017_1 -               13     973       9     966       3     966    1482    +    7.5e-283  939.6  32.3  -
Planococcaceae_Kurthia                           -          LKAP-GUTHK2_B04_030_2017_1 -               11     961       7     966       3     966    1479    +    2.3e-282  937.8  31.0  -
Bacillaceae_Lentibacillus                        -          LKAP-GUTHK2_B04_030_2017_1 -               18     967      21     966       6     966    1470    +    1.7e-281  935.3  32.0  -
Bacillaceae_Thalassobacillus                     -          LKAP-GUTHK2_B04_030_2017_1 -               17     984       6     966       3     966    1506    +    4.4e-281  933.9  32.9  -
