# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_A05_047_2018_2 -               28     999      20     987      12     987    1491    +           0 1233.0  18.3  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_A05_047_2018_2 -               20     985      20     987      11     987    1446    +           0 1099.7  18.5  -
Alteromonadaceae_Marinobacterium                 -          LKAP-TSAKG2_A05_047_2018_2 -               28    1003      20     987      10     987    1465    +    1.1e-298  992.1  18.6  -
Halomonadaceae_Halomonas                         -          LKAP-TSAKG2_A05_047_2018_2 -               28    1002      20     987      10     987    1463    +    3.8e-298  990.2  18.5  -
Alteromonadaceae_Marinobacter                    -          LKAP-TSAKG2_A05_047_2018_2 -               28    1001      20     987      12     987    1478    +    3.2e-297  987.2  18.5  -
Pseudomonadaceae_Pseudomonas                     -          LKAP-TSAKG2_A05_047_2018_2 -               35    1007      20     987      11     987    1502    +    4.3e-295  980.1  18.5  -
Moraxellaceae_Acinetobacter                      -          LKAP-TSAKG2_A05_047_2018_2 -               24     995      20     987      11     987    1463    +    1.6e-293  975.1  18.4  -
Halomonadaceae_Chromohalobacter                  -          LKAP-TSAKG2_A05_047_2018_2 -               28    1001      20     987      13     987    1480    +    3.3e-291  967.3  18.3  -
Oceanospirillaceae_Marinomonas                   -          LKAP-TSAKG2_A05_047_2018_2 -               28    1003      20     987      11     987    1467    +    7.8e-291  965.8  18.9  -
Methylococcaceae_Methylococcus                   -          LKAP-TSAKG2_A05_047_2018_2 -               40    1008      20     987      14     987    1482    +    1.8e-288  958.1  18.4  -
Alcanivoracaceae_Pseudohongiella                 -          LKAP-TSAKG2_A05_047_2018_2 -               28    1000      20     986      10     987    1461    +    7.8e-288  956.1  18.5  -
Halomonadaceae_Kushneria                         -          LKAP-TSAKG2_A05_047_2018_2 -               32    1005      20     987      12     987    1461    +    9.4e-287  952.3  18.2  -
Halomonadaceae_Salinicola                        -          LKAP-TSAKG2_A05_047_2018_2 -               28    1001      20     987      12     987    1471    +    2.7e-286  950.9  18.5  -
Microbulbiferaceae_Microbulbifer                 -          LKAP-TSAKG2_A05_047_2018_2 -               28     996      20     987      12     987    1480    +    5.4e-286  950.2  18.7  -
Oceanospirillaceae_Amphritea                     -          LKAP-TSAKG2_A05_047_2018_2 -               28    1001      20     987      13     987    1463    +    1.3e-285  948.7  18.6  -
Spongiibacteraceae_Sinobacterium                 -          LKAP-TSAKG2_A05_047_2018_2 -               42    1022      16     986       7     987    1504    +    1.5e-285  948.5  18.4  -
Oceanospirillaceae_Marinospirillum               -          LKAP-TSAKG2_A05_047_2018_2 -               29     994      21     986      14     987    1451    +    7.4e-285  946.3  18.7  -
Halomonadaceae_Cobetia                           -          LKAP-TSAKG2_A05_047_2018_2 -               40    1012      20     986      10     987    1516    +      1e-284  945.7  18.5  -
Alcanivoracaceae_Alcanivorax                     -          LKAP-TSAKG2_A05_047_2018_2 -               48    1022      20     987      13     987    1505    +    4.3e-284  943.5  18.6  -
Oceanospirillaceae_Reinekea                      -          LKAP-TSAKG2_A05_047_2018_2 -               38    1005      20     987      14     987    1512    +    1.3e-283  942.0  18.8  -
Hahellaceae_Endozoicomonas                       -          LKAP-TSAKG2_A05_047_2018_2 -               48    1006      20     969      13     987    1524    +    2.9e-282  937.7  18.4  -
Oceanospirillaceae_Neptunomonas                  -          LKAP-TSAKG2_A05_047_2018_2 -               28    1003      20     987      13     987    1484    +    3.3e-282  937.4  18.6  -
Hahellaceae_Hahella                              -          LKAP-TSAKG2_A05_047_2018_2 -               55    1026      20     986      14     987    1539    +    3.7e-282  937.3  18.7  -
Kangiellaceae_Kangiella                          -          LKAP-TSAKG2_A05_047_2018_2 -               36    1013      20     986      14     987    1478    +    1.1e-281  935.7  18.6  -
Oceanospirillaceae_Nitrincola                    -          LKAP-TSAKG2_A05_047_2018_2 -               31    1007      13     987       5     987    1477    +      4e-281  933.8  18.5  -
Saccharospirillaceae_Saccharospirillum           -          LKAP-TSAKG2_A05_047_2018_2 -               29     996      20     987       9     987    1459    +    1.3e-280  932.2  18.8  -
Oceanospirillaceae_Oceanospirillum               -          LKAP-TSAKG2_A05_047_2018_2 -               28    1002      20     987      14     987    1462    +    2.7e-280  931.2  18.7  -
Cellvibrionaceae_Simiduia                        -          LKAP-TSAKG2_A05_047_2018_2 -               28     969      20     957      13     985    1463    +    8.7e-280  929.4  18.6  -
Moraxellaceae_Alkanindiges                       -          LKAP-TSAKG2_A05_047_2018_2 -               15     985      20     987      14     987    1396    +    2.4e-279  928.0  18.2  -
Halomonadaceae_Larsenimonas                      -          LKAP-TSAKG2_A05_047_2018_2 -               49     993      20     961      13     981    1495    +    6.6e-279  926.5  18.7  -
Methylococcaceae_Methylomicrobium                -          LKAP-TSAKG2_A05_047_2018_2 -               48    1015      20     987      13     987    1467    +    1.1e-278  925.7  18.4  -
Methylococcaceae_Methylomonas                    -          LKAP-TSAKG2_A05_047_2018_2 -               47    1013      20     987      14     987    1475    +    1.3e-278  925.4  18.4  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          LKAP-TSAKG2_A05_047_2018_2 -               28    1008      20     987       9     987    1472    +    3.1e-278  924.2  18.5  -
Thiotrichaceae_Leucothrix                        -          LKAP-TSAKG2_A05_047_2018_2 -               22     994      20     987      13     987    1445    +    3.9e-277  920.3  18.5  -
Gammaproteobacteria_Thiohalomonas                -          LKAP-TSAKG2_A05_047_2018_2 -               22     998      21     987      14     987    1483    +    5.4e-277  919.9  18.4  -
Methylococcaceae_Methylobacter                   -          LKAP-TSAKG2_A05_047_2018_2 -               48    1015      20     987      14     987    1500    +    6.1e-277  919.8  18.4  -
Halieaceae_Haliea                                -          LKAP-TSAKG2_A05_047_2018_2 -               48    1016      20     986      14     987    1500    +    1.4e-276  918.8  18.8  -
Spongiibacteraceae_Spongiibacter                 -          LKAP-TSAKG2_A05_047_2018_2 -               31     998      20     987      11     987    1441    +    3.2e-276  917.4  18.5  -
