# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-GUTHK2_F05_037_2017_1 -               27     941       9     916       2     936    1526    +           0 1073.9  28.9  -
Bacillaceae_Pontibacillus                        -          LKAP-GUTHK2_F05_037_2017_1 -               12     904      20     907       9     928    1469    +    5.9e-270  896.9  28.2  -
Bacillaceae_Salinibacillus                       -          LKAP-GUTHK2_F05_037_2017_1 -               12     920       9     907       2     928    1471    +    8.8e-269  893.1  29.1  -
Bacillaceae_Virgibacillus                        -          LKAP-GUTHK2_F05_037_2017_1 -               14     924       9     907       2     928    1519    +    3.8e-266  884.4  29.0  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-GUTHK2_F05_037_2017_1 -               34     937       9     907       2     928    1553    +    6.6e-265  880.2  29.5  -
Bacillaceae_Oceanobacillus                       -          LKAP-GUTHK2_F05_037_2017_1 -               19     923      10     908       2     929    1508    +    2.9e-264  878.0  29.0  -
Bacillaceae_Aquibacillus                         -          LKAP-GUTHK2_F05_037_2017_1 -               31     939       9     907       2     928    1524    +    4.1e-264  877.4  29.0  -
Bacillaceae_Scopulibacillus                      -          LKAP-GUTHK2_F05_037_2017_1 -               45     939      16     907       2     928    1555    +    9.3e-263  872.9  28.8  -
Planococcaceae_Kurthia                           -          LKAP-GUTHK2_F05_037_2017_1 -               28     908      20     907       2     928    1479    +    2.2e-262  871.5  27.3  -
Bacillaceae_Anoxybacillus                        -          LKAP-GUTHK2_F05_037_2017_1 -               71     909      73     907      50     928    1495    +    3.4e-262  871.1  25.0  -
Bacillaceae_Gracilibacillus                      -          LKAP-GUTHK2_F05_037_2017_1 -               22     923      11     906       2     928    1511    +    2.2e-261  868.5  28.9  -
Bacillaceae_Ornithinibacillus                    -          LKAP-GUTHK2_F05_037_2017_1 -               18     929       9     915       2     935    1482    +      3e-261  868.0  29.1  -
Bacillaceae_Domibacillus                         -          LKAP-GUTHK2_F05_037_2017_1 -               26     907      17     907       2     928    1476    +    2.8e-260  864.8  27.1  -
Bacillaceae_Lentibacillus                        -          LKAP-GUTHK2_F05_037_2017_1 -               14     913      15     906       3     927    1470    +    1.3e-259  862.8  28.6  -
Bacillaceae_Thalassobacillus                     -          LKAP-GUTHK2_F05_037_2017_1 -               21     931       9     907       2     928    1506    +    7.8e-259  860.1  29.1  -
Planococcaceae_Ureibacillus                      -          LKAP-GUTHK2_F05_037_2017_1 -               79     916      73     907      52     928    1497    +    2.3e-258  858.4  24.9  -
Bacillaceae_Sediminibacillus                     -          LKAP-GUTHK2_F05_037_2017_1 -                9     906      20     907      12     928    1478    +    1.3e-257  855.9  28.1  -
Bacillaceae_Amphibacillus                        -          LKAP-GUTHK2_F05_037_2017_1 -               14     945       9     928       2     942    1490    +    4.9e-257  854.0  28.4  -
Bacillaceae_Salipaludibacillus                   -          LKAP-GUTHK2_F05_037_2017_1 -                7     905      16     907      11     928    1480    +    7.4e-257  853.4  27.7  -
Bacillaceae_Lysinibacillus                       -          LKAP-GUTHK2_F05_037_2017_1 -               20     910      11     907       2     928    1476    +    1.1e-256  852.7  27.3  -
Bacillaceae_Halobacillus                         -          LKAP-GUTHK2_F05_037_2017_1 -               14     946       9     929       2     943    1520    +    1.9e-256  852.1  28.6  -
