# target name                                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          F0113_LKAP-FHGF1_B04_030 -               27     836       9     817       2     817    1466    +    8.9e-307 1018.5  23.0  -
Vibrionaceae_Photobacterium                      -          F0113_LKAP-FHGF1_B04_030 -               27     836       9     817       3     817    1487    +    2.5e-288  957.3  23.1  -
Vibrionaceae_Aliivibrio                          -          F0113_LKAP-FHGF1_B04_030 -               51     850       9     817       2     817    1474    +    3.6e-280  930.7  22.1  -
Vibrionaceae_Grimontia                           -          F0113_LKAP-FHGF1_B04_030 -               27     836       9     817       3     817    1493    +    2.4e-273  907.7  23.1  -
Vibrionaceae_Enterovibrio                        -          F0113_LKAP-FHGF1_B04_030 -               27     830       9     817       3     817    1499    +      4e-272  903.5  22.7  -
Ferrimonadaceae_Ferrimonas                       -          F0113_LKAP-FHGF1_B04_030 -               24     835       8     816       1     817    1475    +    2.9e-261  867.5  23.0  -
Shewanellaceae_Shewanella                        -          F0113_LKAP-FHGF1_B04_030 -               27     824       9     813       3     817    1483    +    1.8e-254  845.2  22.4  -
Erwiniaceae_Erwinia                              -          F0113_LKAP-FHGF1_B04_030 -               27     826       9     817       3     817    1495    +    1.3e-253  842.5  22.6  -
Yersiniaceae_Serratia                            -          F0113_LKAP-FHGF1_B04_030 -               31     830       9     817       3     817    1491    +    9.1e-253  839.5  22.7  -
Vibrionaceae_Salinivibrio                        -          F0113_LKAP-FHGF1_B04_030 -               46     848       9     807       3     817    1502    +    3.9e-251  833.7  22.4  -
Enterobacteriaceae_Enterobacter                  -          F0113_LKAP-FHGF1_B04_030 -               25     822       9     817       3     817    1476    +      2e-250  831.8  22.6  -
Erwiniaceae_Tatumella                            -          F0113_LKAP-FHGF1_B04_030 -               27     826       9     817       3     817    1490    +    4.1e-250  830.8  22.8  -
Enterobacteriaceae_Citrobacter                   -          F0113_LKAP-FHGF1_B04_030 -               42     841       9     817       3     817    1517    +    7.4e-250  829.9  22.5  -
Pectobacteriaceae_Pectobacterium                 -          F0113_LKAP-FHGF1_B04_030 -               35     834       9     817       3     817    1499    +    2.2e-249  828.4  22.7  -
Yersiniaceae_Rouxiella                           -          F0113_LKAP-FHGF1_B04_030 -               56     855       9     817       3     817    1551    +    2.3e-249  828.3  22.8  -
Enterobacteriaceae_Cronobacter                   -          F0113_LKAP-FHGF1_B04_030 -                4     803       9     817       7     817    1422    +      9e-249  826.4  22.8  -
Enterobacteriaceae_Salmonella                    -          F0113_LKAP-FHGF1_B04_030 -               23     822       9     817       3     817    1457    +    1.7e-248  825.5  22.5  -
Enterobacteriaceae_Trabulsiella                  -          F0113_LKAP-FHGF1_B04_030 -               19     819       8     817       1     817    1471    +    2.2e-248  825.2  23.7  -
Enterobacteriaceae_Escherichia                   -          F0113_LKAP-FHGF1_B04_030 -               27     826       9     817       3     817    1480    +    4.5e-248  824.1  22.7  -
Erwiniaceae_Pantoea                              -          F0113_LKAP-FHGF1_B04_030 -                5     763      59     817      55     817    1416    +    4.9e-248  823.9  22.3  -
Enterobacteriaceae_Pluralibacter                 -          F0113_LKAP-FHGF1_B04_030 -               47     849       9     817       3     817    1532    +    5.1e-248  823.8  22.5  -
Pectobacteriaceae_Brenneria                      -          F0113_LKAP-FHGF1_B04_030 -                5     804       9     817       6     817    1457    +    5.1e-248  823.8  22.8  -
Enterobacteriaceae_Gibbsiella                    -          F0113_LKAP-FHGF1_B04_030 -               28     788      57     817      40     817    1396    +    1.6e-247  822.3  22.5  -
Hafniaceae_Hafnia                                -          F0113_LKAP-FHGF1_B04_030 -               26     826       8     817       1     817    1463    +    4.4e-247  820.7  22.7  -
Enterobacteriaceae_Klebsiella                    -          F0113_LKAP-FHGF1_B04_030 -               39     836       9     817       3     817    1436    +    1.3e-246  819.2  22.8  -
Aeromonadaceae_Aeromonas                         -          F0113_LKAP-FHGF1_B04_030 -               46     847       9     817       3     817    1503    +    1.5e-246  818.8  22.5  -
Idiomarinaceae_Idiomarina                        -          F0113_LKAP-FHGF1_B04_030 -               31     822       8     808       1     816    1471    +    2.8e-246  817.9  22.1  -
Colwelliaceae_Thalassotalea                      -          F0113_LKAP-FHGF1_B04_030 -               27     823       9     816       3     817    1463    +    3.7e-246  817.8  22.7  -
Yersiniaceae_Yersinia                            -          F0113_LKAP-FHGF1_B04_030 -               27     826       9     817       3     817    1461    +    3.7e-246  817.7  22.6  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          F0113_LKAP-FHGF1_B04_030 -               27     812       9     808       3     814    1461    +    9.7e-246  816.2  21.1  -
Enterobacteriaceae_Buttiauxella                  -          F0113_LKAP-FHGF1_B04_030 -               33     830       9     817       3     817    1503    +    2.1e-245  815.2  22.9  -
Alteromonadaceae_Agarivorans                     -          F0113_LKAP-FHGF1_B04_030 -               34     831       9     815       4     817    1454    +    7.2e-245  813.5  22.4  -
Enterobacteriaceae_Kosakonia                     -          F0113_LKAP-FHGF1_B04_030 -                7     804       9     817       5     817    1422    +    2.3e-244  811.4  22.7  -
Enterobacteriaceae_Kluyvera                      -          F0113_LKAP-FHGF1_B04_030 -               15     812       9     817       3     817    1455    +    2.4e-244  811.7  22.7  -
Pectobacteriaceae_Dickeya                        -          F0113_LKAP-FHGF1_B04_030 -               24     823       9     817       3     817    1421    +    6.2e-244  810.3  23.0  -
Enterobacteriaceae_Pseudocitrobacter             -          F0113_LKAP-FHGF1_B04_030 -               24     823       9     817       3     817    1459    +    7.4e-244  810.1  22.6  -
Enterobacteriaceae_Shigella                      -          F0113_LKAP-FHGF1_B04_030 -               35     834       9     817       3     817    1488    +    1.1e-243  809.5  22.7  -
Enterobacteriaceae_Lelliottia                    -          F0113_LKAP-FHGF1_B04_030 -               22     819       9     817       3     817    1449    +    3.3e-243  807.9  22.8  -
Enterobacteriaceae_Franconibacter                -          F0113_LKAP-FHGF1_B04_030 -               33     830       9     817       2     817    1325    +    7.7e-243  807.0  22.4  -
