# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_B11_093_2018_2 -               29     951      21     947       7     947    1491    +           0 1175.2  19.2  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_B11_093_2018_2 -               25     937      24     947       8     947    1446    +           0 1062.4  19.2  -
Alteromonadaceae_Marinobacterium                 -          LKAP-TSAKG2_B11_093_2018_2 -               29     955      21     947       6     947    1465    +    4.8e-292  970.0  19.1  -
Halomonadaceae_Halomonas                         -          LKAP-TSAKG2_B11_093_2018_2 -               30     954      22     947       7     947    1463    +    4.2e-289  960.2  19.1  -
Moraxellaceae_Acinetobacter                      -          LKAP-TSAKG2_B11_093_2018_2 -               25     947      21     947       6     947    1463    +    1.9e-288  958.2  19.2  -
Pseudomonadaceae_Pseudomonas                     -          LKAP-TSAKG2_B11_093_2018_2 -               36     959      21     947       8     947    1502    +    2.6e-288  957.6  19.2  -
Alteromonadaceae_Marinobacter                    -          LKAP-TSAKG2_B11_093_2018_2 -               18     953      12     947       6     947    1478    +    2.9e-288  957.4  19.2  -
Oceanospirillaceae_Marinomonas                   -          LKAP-TSAKG2_B11_093_2018_2 -               21     955      15     947       6     947    1467    +    3.6e-283  940.3  19.5  -
Halomonadaceae_Chromohalobacter                  -          LKAP-TSAKG2_B11_093_2018_2 -               31     953      23     947       9     947    1480    +    2.3e-282  937.9  19.0  -
Alcanivoracaceae_Pseudohongiella                 -          LKAP-TSAKG2_B11_093_2018_2 -               18     953      12     947       5     947    1461    +    1.1e-279  929.0  19.3  -
Microbulbiferaceae_Microbulbifer                 -          LKAP-TSAKG2_B11_093_2018_2 -               33     948      24     947       9     947    1480    +    3.3e-279  927.6  19.3  -
Halomonadaceae_Salinicola                        -          LKAP-TSAKG2_B11_093_2018_2 -               29     953      21     947       7     947    1471    +    4.5e-279  926.9  19.3  -
Methylococcaceae_Methylococcus                   -          LKAP-TSAKG2_B11_093_2018_2 -               43     960      23     947       9     947    1482    +    1.1e-278  925.7  19.4  -
Spongiibacteraceae_Sinobacterium                 -          LKAP-TSAKG2_B11_093_2018_2 -               36     975      10     947       4     947    1504    +    1.4e-278  925.3  19.3  -
Oceanospirillaceae_Marinospirillum               -          LKAP-TSAKG2_B11_093_2018_2 -               30     947      22     947       8     947    1451    +    1.1e-277  922.4  19.4  -
Halomonadaceae_Cobetia                           -          LKAP-TSAKG2_B11_093_2018_2 -               28     965      10     947       5     947    1516    +    1.6e-276  918.5  18.8  -
Halomonadaceae_Kushneria                         -          LKAP-TSAKG2_B11_093_2018_2 -               30     957      17     947       7     947    1461    +    4.5e-276  916.9  19.0  -
Oceanospirillaceae_Neptunomonas                  -          LKAP-TSAKG2_B11_093_2018_2 -               29     955      21     947       8     947    1484    +    8.7e-276  916.0  18.9  -
Oceanospirillaceae_Nitrincola                    -          LKAP-TSAKG2_B11_093_2018_2 -               32     959      14     947       4     947    1477    +    7.1e-275  913.0  19.3  -
Oceanospirillaceae_Amphritea                     -          LKAP-TSAKG2_B11_093_2018_2 -               29     953      21     947       8     947    1463    +    1.3e-274  912.2  19.1  -
Hahellaceae_Hahella                              -          LKAP-TSAKG2_B11_093_2018_2 -               56     979      21     947       7     947    1539    +    1.5e-274  912.0  19.3  -
Alcanivoracaceae_Alcanivorax                     -          LKAP-TSAKG2_B11_093_2018_2 -               49     974      20     947       8     947    1505    +    1.8e-274  911.6  19.1  -
Kangiellaceae_Kangiella                          -          LKAP-TSAKG2_B11_093_2018_2 -               39     966      23     947      10     947    1478    +    2.2e-273  908.1  18.9  -
Oceanospirillaceae_Oceanospirillum               -          LKAP-TSAKG2_B11_093_2018_2 -               30     954      22     947       9     947    1462    +    4.7e-273  907.1  19.0  -
Hahellaceae_Endozoicomonas                       -          LKAP-TSAKG2_B11_093_2018_2 -               49     976      21     947       8     947    1524    +    8.7e-273  906.2  19.1  -
Saccharospirillaceae_Saccharospirillum           -          LKAP-TSAKG2_B11_093_2018_2 -               27     948      17     947       5     947    1459    +    9.2e-273  906.1  19.2  -
Methylococcaceae_Methylomicrobium                -          LKAP-TSAKG2_B11_093_2018_2 -               53     967      24     947       9     947    1467    +    1.3e-272  905.4  19.1  -
Methylococcaceae_Methylomonas                    -          LKAP-TSAKG2_B11_093_2018_2 -               52     965      24     947      11     947    1475    +    2.5e-272  904.6  19.2  -
Halomonadaceae_Larsenimonas                      -          LKAP-TSAKG2_B11_093_2018_2 -               50     974      21     947       7     947    1495    +    1.8e-271  901.7  19.0  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          LKAP-TSAKG2_B11_093_2018_2 -               31     960      22     947       7     947    1472    +    2.1e-271  901.5  18.9  -
Methylococcaceae_Methylobacter                   -          LKAP-TSAKG2_B11_093_2018_2 -               51     967      23     947      10     947    1500    +    2.1e-271  901.4  19.2  -
Halieaceae_Haliea                                -          LKAP-TSAKG2_B11_093_2018_2 -               86     969      67     947      45     947    1500    +    7.4e-271  899.8  19.8  -
Oceanospirillaceae_Reinekea                      -          LKAP-TSAKG2_B11_093_2018_2 -               39     957      21     947       7     947    1512    +      9e-271  899.4  19.1  -
Pseudomonadaceae_Azomonas                        -          LKAP-TSAKG2_B11_093_2018_2 -               12     937      21     947      12     947    1453    +    1.9e-270  898.4  19.2  -
