# target name                                    accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP.g-Gut1_E11_087.seq -               27    1020       6    1010       3    1011    1461    +           0 1027.4  11.3  -
Vibrionaceae_Vibrio                              -          LKAP.g-Gut1_E11_087.seq -               27    1036       6    1010       2    1011    1466    +      1e-303 1008.7  11.9  -
Vibrionaceae_Photobacterium                      -          LKAP.g-Gut1_E11_087.seq -               27    1036       6    1010       3    1011    1487    +      2e-299  994.4  12.0  -
Vibrionaceae_Aliivibrio                          -          LKAP.g-Gut1_E11_087.seq -               53    1050       8    1010       3    1011    1474    +    3.8e-292  970.7  11.8  -
Ferrimonadaceae_Ferrimonas                       -          LKAP.g-Gut1_E11_087.seq -               27    1036       6    1010       1    1011    1475    +    5.6e-290  963.0  11.9  -
Shewanellaceae_Shewanella                        -          LKAP.g-Gut1_E11_087.seq -               27    1028       6    1010       2    1011    1483    +    2.4e-287  954.5  11.9  -
Vibrionaceae_Enterovibrio                        -          LKAP.g-Gut1_E11_087.seq -               27    1030       6    1010       2    1011    1499    +    5.7e-285  946.4  12.0  -
Vibrionaceae_Grimontia                           -          LKAP.g-Gut1_E11_087.seq -               27    1036       6    1010       2    1011    1493    +    1.5e-278  925.3  11.8  -
Pseudoalteromonadaceae_Algicola                  -          LKAP.g-Gut1_E11_087.seq -               42    1039       6    1010       3    1011    1490    +    4.4e-278  923.7  11.9  -
Yersiniaceae_Serratia                            -          LKAP.g-Gut1_E11_087.seq -               31    1030       6    1010       3    1011    1491    +    1.5e-277  921.9  12.0  -
Psychromonadaceae_Psychromonas                   -          LKAP.g-Gut1_E11_087.seq -               27    1026       6    1010       3    1011    1467    +    8.9e-276  916.2  11.9  -
Alteromonadaceae_Agarivorans                     -          LKAP.g-Gut1_E11_087.seq -               34    1033       6    1010       3    1011    1454    +      2e-275  915.0  11.9  -
Colwelliaceae_Thalassotalea                      -          LKAP.g-Gut1_E11_087.seq -               27    1024       6    1010       3    1011    1463    +    4.7e-275  913.9  12.0  -
Pseudoalteromonadaceae_Psychrosphaera            -          LKAP.g-Gut1_E11_087.seq -               33    1021       8    1010       3    1011    1450    +    6.2e-275  913.3  11.3  -
Colwelliaceae_Colwellia                          -          LKAP.g-Gut1_E11_087.seq -               27    1026       6    1010       3    1011    1485    +    3.8e-274  910.8  12.0  -
Colwelliaceae_Thalassomonas                      -          LKAP.g-Gut1_E11_087.seq -               27    1024       6    1010       3    1011    1462    +    5.4e-273  906.9  12.0  -
Idiomarinaceae_Idiomarina                        -          LKAP.g-Gut1_E11_087.seq -               32    1032       6    1010       2    1011    1471    +    1.9e-271  901.6  11.8  -
Hafniaceae_Hafnia                                -          LKAP.g-Gut1_E11_087.seq -               26    1026       5    1010       2    1011    1463    +    4.6e-271  900.4  11.9  -
