# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-TSAKG2_C01_011_2018_2 -               46     888      25     866       5     866    1526    +           0 1061.7  23.4  -
Bacillaceae_Oceanobacillus                       -          LKAP-TSAKG2_C01_011_2018_2 -               25     879      17     866       4     866    1508    +    1.6e-273  908.6  23.4  -
Bacillaceae_Salinibacillus                       -          LKAP-TSAKG2_C01_011_2018_2 -               27     877      22     866       5     866    1471    +    9.6e-273  906.1  23.5  -
Bacillaceae_Ornithinibacillus                    -          LKAP-TSAKG2_C01_011_2018_2 -               24     877      16     866       4     866    1482    +    2.8e-270  897.8  23.3  -
Bacillaceae_Virgibacillus                        -          LKAP-TSAKG2_C01_011_2018_2 -               31     881      24     866       4     866    1519    +    1.1e-269  895.9  23.3  -
Planococcaceae_Kurthia                           -          LKAP-TSAKG2_C01_011_2018_2 -               70     865      71     866      49     866    1479    +      4e-269  893.7  19.8  -
Bacillaceae_Domibacillus                         -          LKAP-TSAKG2_C01_011_2018_2 -               69     864      73     866      51     866    1476    +    1.4e-268  892.2  19.8  -
Bacillaceae_Pontibacillus                        -          LKAP-TSAKG2_C01_011_2018_2 -               14     861      23     866      15     866    1469    +    1.8e-266  885.2  23.1  -
Bacillales_Rummeliibacillus                      -          LKAP-TSAKG2_C01_011_2018_2 -               31     861      24     866       4     866    1473    +      4e-265  880.6  21.4  -
Planococcaceae_Sporosarcina                      -          LKAP-TSAKG2_C01_011_2018_2 -               66     863      71     866      48     866    1504    +    6.6e-264  876.6  20.0  -
Bacillaceae_Aquibacillus                         -          LKAP-TSAKG2_C01_011_2018_2 -               46     896      22     866       3     866    1524    +      4e-263  874.0  23.5  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-TSAKG2_C01_011_2018_2 -               51     894      24     866       5     866    1553    +    1.2e-262  872.6  23.8  -
Bacillaceae_Terribacillus                        -          LKAP-TSAKG2_C01_011_2018_2 -               24     870      24     866       6     866    1472    +      2e-262  871.8  23.3  -
Bacillaceae_Scopulibacillus                      -          LKAP-TSAKG2_C01_011_2018_2 -               53     896      25     866       6     866    1555    +    3.9e-262  870.7  23.3  -
Bacillaceae_Lentibacillus                        -          LKAP-TSAKG2_C01_011_2018_2 -               22     871      24     866       7     866    1470    +    5.4e-262  870.5  23.2  -
Staphylococcaceae_Macrococcus                    -          LKAP-TSAKG2_C01_011_2018_2 -               90     886      71     866      49     866    1547    +    7.2e-262  869.8  19.8  -
