# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-GUTHK2_B05_045_2017_1 -               30     896      13     877       1     879    1526    +    8.3e-305 1012.3  22.4  -
Bacillaceae_Pontibacillus                        -          LKAP-GUTHK2_B05_045_2017_1 -                5     869      16     877      12     879    1469    +    1.5e-249  829.1  20.4  -
Bacillaceae_Salinibacillus                       -          LKAP-GUTHK2_B05_045_2017_1 -               15     885      13     877       2     879    1471    +    6.8e-249  827.1  22.5  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-GUTHK2_B05_045_2017_1 -               36     902      12     877       1     879    1553    +      9e-248  823.3  22.9  -
Bacillaceae_Virgibacillus                        -          LKAP-GUTHK2_B05_045_2017_1 -               16     889      11     877       2     879    1519    +    9.1e-247  820.0  22.6  -
Bacillaceae_Scopulibacillus                      -          LKAP-GUTHK2_B05_045_2017_1 -               38     904      14     877       1     879    1555    +    1.6e-246  818.9  22.8  -
Bacillaceae_Aquibacillus                         -          LKAP-GUTHK2_B05_045_2017_1 -               31     904      10     877       1     879    1524    +    2.9e-246  818.1  22.7  -
Bacillaceae_Oceanobacillus                       -          LKAP-GUTHK2_B05_045_2017_1 -               15     887      10     877       2     879    1508    +    2.1e-245  815.4  22.6  -
Bacillaceae_Anoxybacillus                        -          LKAP-GUTHK2_B05_045_2017_1 -               18     874      13     877       1     879    1495    +    3.9e-244  811.1  21.0  -
Planococcaceae_Kurthia                           -          LKAP-GUTHK2_B05_045_2017_1 -               17     873      12     877       2     879    1479    +    1.7e-242  805.5  21.3  -
Bacillaceae_Salipaludibacillus                   -          LKAP-GUTHK2_B05_045_2017_1 -                3     870      16     877      14     879    1480    +    2.1e-242  805.4  20.0  -
Bacillaceae_Alkalicoccus                         -          LKAP-GUTHK2_B05_045_2017_1 -               37     915      13     877       1     879    1558    +    8.7e-242  803.3  22.8  -
Bacillaceae_Thalassobacillus                     -          LKAP-GUTHK2_B05_045_2017_1 -               22     896      11     877       1     879    1506    +    1.1e-241  803.1  22.9  -
Bacillaceae_Gracilibacillus                      -          LKAP-GUTHK2_B05_045_2017_1 -               17     889      10     877       1     879    1511    +    2.5e-241  801.9  22.6  -
Bacillaceae_Lentibacillus                        -          LKAP-GUTHK2_B05_045_2017_1 -                7     879      12     877       5     879    1470    +    8.6e-241  800.2  22.0  -
Planococcaceae_Ureibacillus                      -          LKAP-GUTHK2_B05_045_2017_1 -               23     881      12     877       1     879    1497    +    2.5e-240  798.4  21.0  -
Bacillaceae_Sediminibacillus                     -          LKAP-GUTHK2_B05_045_2017_1 -                3     871      17     877      15     879    1478    +    3.6e-240  798.0  20.1  -
Bacillaceae_Ornithinibacillus                    -          LKAP-GUTHK2_B05_045_2017_1 -               19     885      14     877       2     879    1482    +    1.4e-238  792.8  22.4  -
Bacillaceae_Amphibacillus                        -          LKAP-GUTHK2_B05_045_2017_1 -               17     889      13     877       2     879    1490    +    4.4e-238  791.1  22.4  -
Bacillaceae_Terribacillus                        -          LKAP-GUTHK2_B05_045_2017_1 -                9     878      11     877       4     879    1472    +    4.6e-238  791.1  22.2  -
Bacillales_Rummeliibacillus                      -          LKAP-GUTHK2_B05_045_2017_1 -               15     869      10     877       2     879    1473    +    8.6e-238  790.0  21.1  -
Bacillaceae_Domibacillus                         -          LKAP-GUTHK2_B05_045_2017_1 -               17     872      12     877       1     879    1476    +    1.3e-237  789.6  21.6  -
Bacillaceae_Halobacillus                         -          LKAP-GUTHK2_B05_045_2017_1 -               15     889      10     877       2     879    1520    +    2.6e-237  788.5  22.7  -
Bacillaceae_Halolactibacillus                    -          LKAP-GUTHK2_B05_045_2017_1 -                6     876      15     877       9     879    1491    +    1.7e-236  785.7  20.8  -
Bacillaceae_Fictibacillus                        -          LKAP-GUTHK2_B05_045_2017_1 -                4     850      18     877      15     879    1439    +    1.9e-236  785.6  18.7  -
Bacillaceae_Alkalibacillus                       -          LKAP-GUTHK2_B05_045_2017_1 -               10     878      14     877       5     879    1492    +    8.1e-236  783.6  22.1  -
Bacillaceae_Lysinibacillus                       -          LKAP-GUTHK2_B05_045_2017_1 -               18     875      13     877       2     879    1476    +    3.8e-235  781.2  21.0  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-GUTHK2_B05_045_2017_1 -               14     873       9     877       2     879    1507    +    6.1e-235  780.6  21.4  -
Planococcaceae_Chryseomicrobium                  -          LKAP-GUTHK2_B05_045_2017_1 -               15     873      11     877       1     879    1483    +      1e-234  779.8  21.2  -
Bacillaceae_Caldalkalibacillus                   -          LKAP-GUTHK2_B05_045_2017_1 -                2     870      19     877      18     879    1488    +    9.1e-234  776.7  20.2  -
Bacillaceae_Paraliobacillus                      -          LKAP-GUTHK2_B05_045_2017_1 -               14     890      10     877       1     879    1511    +    9.8e-234  776.7  22.7  -
Bacillaceae_Piscibacillus                        -          LKAP-GUTHK2_B05_045_2017_1 -                2     865      17     877      16     879    1520    +    1.3e-233  776.3  20.2  -
Staphylococcaceae_Macrococcus                    -          LKAP-GUTHK2_B05_045_2017_1 -               37     894      13     877       1     879    1547    +    2.5e-233  775.3  21.2  -
Planococcaceae_Sporosarcina                      -          LKAP-GUTHK2_B05_045_2017_1 -               19     871      15     877       2     879    1504    +    2.5e-233  775.3  20.8  -
Paenibacillaceae_Aneurinibacillus                -          LKAP-GUTHK2_B05_045_2017_1 -               16     864      10     877       1     879    1483    +    4.8e-233  774.3  21.0  -
Bacillaceae_Salisediminibacterium                -          LKAP-GUTHK2_B05_045_2017_1 -                1     864      21     877      21     879    1449    +    2.4e-232  772.2  20.6  -
Enterococcaceae_Enterococcus                     -          LKAP-GUTHK2_B05_045_2017_1 -               17     882      12     877       2     879    1502    +    1.1e-231  769.8  21.6  -
Bacillaceae_Geobacillus                          -          LKAP-GUTHK2_B05_045_2017_1 -               28     889      10     877       1     879    1527    +      1e-230  766.8  21.6  -
Paenibacillaceae_Brevibacillus                   -          LKAP-GUTHK2_B05_045_2017_1 -               16     858      12     877       2     879    1486    +    5.7e-230  764.2  20.7  -
Enterococcaceae_Vagococcus                       -          LKAP-GUTHK2_B05_045_2017_1 -               16     883      11     877       2     879    1472    +    7.5e-230  763.8  21.7  -
Planococcaceae_Bhargavaea                        -          LKAP-GUTHK2_B05_045_2017_1 -               37     890      12     877       1     879    1544    +    1.1e-229  763.2  21.2  -
Staphylococcaceae_Salinicoccus                   -          LKAP-GUTHK2_B05_045_2017_1 -               11     865      14     877       4     879    1476    +    2.2e-229  762.3  21.2  -
Bacillaceae_Salimicrobium                        -          LKAP-GUTHK2_B05_045_2017_1 -               17     890      13     877       2     879    1500    +    2.5e-229  762.1  22.4  -
Bacillaceae_Anaerobacillus                       -          LKAP-GUTHK2_B05_045_2017_1 -               36     892      13     877       1     879    1512    +    2.9e-228  758.4  20.9  -
Bacillaceae_Viridibacillus                       -          LKAP-GUTHK2_B05_045_2017_1 -               17     873      13     877       2     879    1505    +    9.9e-228  756.5  20.8  -
Listeriaceae_Listeria                            -          LKAP-GUTHK2_B05_045_2017_1 -                6     858      17     877      12     879    1458    +    2.4e-227  755.7  18.9  -
Sporolactobacillaceae_Sporolactobacillus         -          LKAP-GUTHK2_B05_045_2017_1 -               18     871      13     877       2     879    1503    +    3.9e-227  754.7  21.5  -
Bacillaceae_Alteribacillus                       -          LKAP-GUTHK2_B05_045_2017_1 -                2     860      26     877      25     879    1440    +    5.8e-227  754.3  21.0  -
Planococcaceae_Caryophanon                       -          LKAP-GUTHK2_B05_045_2017_1 -               43     904      12     877       1     879    1492    +    5.3e-226  750.8  21.1  -
Planococcaceae_Planomicrobium                    -          LKAP-GUTHK2_B05_045_2017_1 -               18     871      13     877       2     879    1485    +    1.3e-225  749.8  20.9  -
Bacillaceae_Salsuginibacillus                    -          LKAP-GUTHK2_B05_045_2017_1 -               44     914      15     877       1     879    1505    +    3.3e-225  748.4  22.3  -
Staphylococcaceae_Staphylococcus                 -          LKAP-GUTHK2_B05_045_2017_1 -               24     881      11     877       1     879    1484    +    3.5e-225  748.2  21.2  -
Planococcaceae_Planococcus                       -          LKAP-GUTHK2_B05_045_2017_1 -               27     881      13     877       1     879    1492    +    3.6e-225  748.3  21.1  -
Staphylococcaceae_Jeotgalicoccus                 -          LKAP-GUTHK2_B05_045_2017_1 -                8     859      17     877      10     879    1443    +    5.2e-225  747.8  19.2  -
Aerococcaceae_Aerococcus                         -          LKAP-GUTHK2_B05_045_2017_1 -               12     863      16     877       5     879    1461    +      2e-224  745.7  20.2  -
Bacillaceae_Pelagirhabdus                        -          LKAP-GUTHK2_B05_045_2017_1 -                1     860      28     877      28     879    1462    +    2.6e-224  745.3  20.5  -
Planococcaceae_Paenisporosarcina                 -          LKAP-GUTHK2_B05_045_2017_1 -                9     866      14     877       5     879    1481    +    1.4e-223  742.9  20.4  -
Bacillales_Solibacillus                          -          LKAP-GUTHK2_B05_045_2017_1 -               20     880      13     877       1     879    1525    +    1.6e-223  742.7  21.5  -
