# target name                                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     927       2     933    1466    +           0 1057.0  17.5  -
Vibrionaceae_Photobacterium                      -          B0306_LKAP-FHGF1_A06_048 -               23     950       5     927       2     933    1487    +    1.1e-304 1011.8  17.4  -
Vibrionaceae_Aliivibrio                          -          B0306_LKAP-FHGF1_A06_048 -               48     964       6     927       2     933    1474    +    1.7e-297  988.2  17.5  -
Vibrionaceae_Enterovibrio                        -          B0306_LKAP-FHGF1_A06_048 -               24     944       6     927       2     933    1499    +    1.5e-290  964.8  17.4  -
Vibrionaceae_Grimontia                           -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     927       2     933    1493    +    2.1e-285  947.8  17.4  -
Erwiniaceae_Erwinia                              -          B0306_LKAP-FHGF1_A06_048 -               24     940       6     927       2     933    1495    +    6.2e-279  926.6  17.4  -
Yersiniaceae_Serratia                            -          B0306_LKAP-FHGF1_A06_048 -               28     944       6     927       2     933    1491    +    9.9e-279  925.8  17.5  -
Pectobacteriaceae_Pectobacterium                 -          B0306_LKAP-FHGF1_A06_048 -               32     948       6     927       2     933    1499    +    3.2e-277  920.9  17.5  -
Erwiniaceae_Tatumella                            -          B0306_LKAP-FHGF1_A06_048 -               24     940       6     927       2     933    1490    +    1.9e-275  915.0  17.5  -
Enterobacteriaceae_Enterobacter                  -          B0306_LKAP-FHGF1_A06_048 -               22     936       6     927       2     933    1476    +    4.2e-273  907.2  17.4  -
Enterobacteriaceae_Citrobacter                   -          B0306_LKAP-FHGF1_A06_048 -               39     955       6     927       2     933    1517    +    9.8e-273  905.9  17.4  -
Pectobacteriaceae_Brenneria                      -          B0306_LKAP-FHGF1_A06_048 -                2     918       6     927       5     933    1457    +    1.6e-272  905.2  17.5  -
Enterobacteriaceae_Klebsiella                    -          B0306_LKAP-FHGF1_A06_048 -               36     950       6     927       2     933    1436    +    2.1e-272  904.9  17.6  -
Pectobacteriaceae_Dickeya                        -          B0306_LKAP-FHGF1_A06_048 -               21     937       6     927       2     933    1421    +    9.4e-272  902.7  17.5  -
Ferrimonadaceae_Ferrimonas                       -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     927       1     933    1475    +    2.7e-271  901.0  17.4  -
Enterobacteriaceae_Escherichia                   -          B0306_LKAP-FHGF1_A06_048 -               24     940       6     927       2     933    1480    +    5.9e-271  900.1  17.5  -
Shewanellaceae_Shewanella                        -          B0306_LKAP-FHGF1_A06_048 -               23     942       5     927       2     933    1483    +    1.1e-270  899.1  17.4  -
Hafniaceae_Hafnia                                -          B0306_LKAP-FHGF1_A06_048 -               24     939       6     926       2     933    1463    +    5.6e-270  896.8  17.6  -
Yersiniaceae_Yersinia                            -          B0306_LKAP-FHGF1_A06_048 -               24     940       6     927       2     933    1461    +    6.2e-270  896.7  17.5  -
Enterobacteriaceae_Cronobacter                   -          B0306_LKAP-FHGF1_A06_048 -                1     917       6     927       6     933    1422    +    1.7e-269  895.2  17.5  -
Enterobacteriaceae_Salmonella                    -          B0306_LKAP-FHGF1_A06_048 -               20     936       6     927       2     933    1457    +    2.9e-269  894.6  17.4  -
Yersiniaceae_Rouxiella                           -          B0306_LKAP-FHGF1_A06_048 -               53     969       6     927       2     933    1551    +    4.2e-269  893.9  17.5  -
Enterobacteriaceae_Pluralibacter                 -          B0306_LKAP-FHGF1_A06_048 -               44     963       6     927       2     933    1532    +    1.3e-268  892.3  17.5  -
Enterobacteriaceae_Kluyvera                      -          B0306_LKAP-FHGF1_A06_048 -               12     926       6     927       2     933    1455    +    1.2e-267  889.1  17.6  -
Enterobacteriaceae_Kosakonia                     -          B0306_LKAP-FHGF1_A06_048 -                3     918       5     927       3     933    1422    +    1.3e-267  888.7  17.4  -
Idiomarinaceae_Idiomarina                        -          B0306_LKAP-FHGF1_A06_048 -               28     947       5     928       2     933    1471    +    2.7e-267  887.7  16.9  -
Enterobacteriaceae_Raoultella                    -          B0306_LKAP-FHGF1_A06_048 -               22     936       6     927       2     933    1452    +    2.9e-267  887.9  17.5  -
Enterobacteriaceae_Trabulsiella                  -          B0306_LKAP-FHGF1_A06_048 -               16     933       5     926       2     934    1471    +    3.1e-267  887.9  17.4  -
Pectobacteriaceae_Sodalis                        -          B0306_LKAP-FHGF1_A06_048 -               20     935       6     926       2     933    1511    +    5.7e-267  886.8  17.6  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          B0306_LKAP-FHGF1_A06_048 -               23     934       5     927       2     933    1461    +    1.2e-265  882.4  16.6  -
Aeromonadaceae_Oceanisphaera                     -          B0306_LKAP-FHGF1_A06_048 -               24     939       6     927       2     933    1464    +    1.4e-265  882.1  17.2  -
