# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae_Psychrobacter                      -          LKAP-TSAKG2_G08_052_2018_2 -               33     845      26     838      19     838    1491    +    2.2e-307 1020.7  16.6  -
Moraxellaceae_Moraxella                          -          LKAP-TSAKG2_G08_052_2018_2 -               25     831      26     838      16     838    1446    +    8.7e-270  896.1  16.4  -
Alteromonadaceae_Marinobacterium                 -          LKAP-TSAKG2_G08_052_2018_2 -               33     848      26     837      11     838    1465    +    3.4e-244  811.2  16.4  -
Halomonadaceae_Halomonas                         -          LKAP-TSAKG2_G08_052_2018_2 -               33     847      26     837      11     838    1463    +    3.9e-243  807.6  16.3  -
Alteromonadaceae_Marinobacter                    -          LKAP-TSAKG2_G08_052_2018_2 -               32     846      25     837      15     838    1478    +    2.5e-242  805.0  16.4  -
Moraxellaceae_Acinetobacter                      -          LKAP-TSAKG2_G08_052_2018_2 -               29     841      26     838      12     838    1463    +    1.1e-238  793.1  16.3  -
Halomonadaceae_Chromohalobacter                  -          LKAP-TSAKG2_G08_052_2018_2 -               33     846      26     837      20     838    1480    +      3e-238  791.5  16.4  -
Pseudomonadaceae_Pseudomonas                     -          LKAP-TSAKG2_G08_052_2018_2 -               40     852      26     837      18     838    1502    +    3.9e-238  791.1  16.4  -
Alcanivoracaceae_Pseudohongiella                 -          LKAP-TSAKG2_G08_052_2018_2 -               28     846      22     837       8     838    1461    +      3e-235  781.6  16.7  -
Oceanospirillaceae_Marinomonas                   -          LKAP-TSAKG2_G08_052_2018_2 -               32     849      25     838      14     838    1467    +    6.7e-235  780.2  16.8  -
Halomonadaceae_Cobetia                           -          LKAP-TSAKG2_G08_052_2018_2 -               44     858      25     837       9     838    1516    +    2.6e-232  771.8  16.5  -
Halomonadaceae_Salinicola                        -          LKAP-TSAKG2_G08_052_2018_2 -               30     846      24     837      16     838    1471    +    2.8e-232  771.7  16.3  -
Oceanospirillaceae_Amphritea                     -          LKAP-TSAKG2_G08_052_2018_2 -               33     847      26     838      19     838    1463    +    6.6e-232  770.4  16.5  -
Halomonadaceae_Kushneria                         -          LKAP-TSAKG2_G08_052_2018_2 -               36     850      25     837      16     838    1461    +    2.1e-231  768.7  16.3  -
Saccharospirillaceae_Saccharospirillum           -          LKAP-TSAKG2_G08_052_2018_2 -               31     841      23     837       7     838    1459    +    1.3e-230  766.3  16.6  -
Oceanospirillaceae_Neptunomonas                  -          LKAP-TSAKG2_G08_052_2018_2 -               33     848      26     837      20     838    1484    +    1.7e-230  765.7  16.4  -
Spongiibacteraceae_Sinobacterium                 -          LKAP-TSAKG2_G08_052_2018_2 -               49     869      23     838       7     838    1504    +    1.7e-230  765.7  16.7  -
Methylococcaceae_Methylococcus                   -          LKAP-TSAKG2_G08_052_2018_2 -               45     853      26     837      20     838    1482    +    2.8e-230  765.1  16.6  -
Oceanospirillaceae_Marinospirillum               -          LKAP-TSAKG2_G08_052_2018_2 -               33     840      26     837      20     838    1451    +    3.4e-230  764.9  16.7  -
Thiotrichaceae_Leucothrix                        -          LKAP-TSAKG2_G08_052_2018_2 -               23     839      23     837      17     838    1445    +    1.3e-229  762.6  16.4  -
Microbulbiferaceae_Microbulbifer                 -          LKAP-TSAKG2_G08_052_2018_2 -               33     842      26     838      18     838    1480    +    2.1e-229  762.3  16.6  -
Oceanospirillaceae_Reinekea                      -          LKAP-TSAKG2_G08_052_2018_2 -               43     850      26     837      20     838    1512    +    2.3e-229  762.0  16.4  -
Halomonadaceae_Larsenimonas                      -          LKAP-TSAKG2_G08_052_2018_2 -               54     867      26     837      19     838    1495    +    8.7e-229  760.1  16.4  -
Alcanivoracaceae_Alcanivorax                     -          LKAP-TSAKG2_G08_052_2018_2 -               52     868      25     838      18     838    1505    +    3.1e-228  758.1  16.5  -
Hahellaceae_Hahella                              -          LKAP-TSAKG2_G08_052_2018_2 -               60     872      26     837      20     838    1539    +    1.1e-227  756.5  16.5  -
Gammaproteobacteria_Thiohalomonas                -          LKAP-TSAKG2_G08_052_2018_2 -               26     804      26     799      20     822    1483    +    1.8e-227  755.6  17.0  -
Oceanospirillaceae_Nitrincola                    -          LKAP-TSAKG2_G08_052_2018_2 -               43     852      26     837       8     838    1477    +    4.3e-227  754.4  16.5  -
Cellvibrionaceae_Simiduia                        -          LKAP-TSAKG2_G08_052_2018_2 -               33     847      26     838      19     838    1463    +    6.5e-227  753.9  16.6  -
Hahellaceae_Endozoicomonas                       -          LKAP-TSAKG2_G08_052_2018_2 -               53     870      26     838      19     838    1524    +    7.8e-227  753.7  16.5  -
Oceanospirillaceae_Oceanospirillum               -          LKAP-TSAKG2_G08_052_2018_2 -               33     847      26     837      20     838    1462    +    8.3e-227  753.7  16.5  -
Methylococcaceae_Methylomonas                    -          LKAP-TSAKG2_G08_052_2018_2 -               52     858      26     837      20     838    1475    +    8.4e-227  753.5  16.1  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          LKAP-TSAKG2_G08_052_2018_2 -               33     853      26     837       9     838    1472    +    1.7e-226  752.4  16.4  -
Kangiellaceae_Kangiella                          -          LKAP-TSAKG2_G08_052_2018_2 -               41     859      26     837      20     838    1478    +    2.2e-226  752.1  16.5  -
Granulosicoccaceae_Granulosicoccus               -          LKAP-TSAKG2_G08_052_2018_2 -               33     849      26     837      20     838    1471    +    3.5e-226  751.6  16.4  -
Methylococcaceae_Methylomicrobium                -          LKAP-TSAKG2_G08_052_2018_2 -               53     860      26     837      19     838    1467    +    1.7e-225  749.1  16.5  -
Ectothiorhodospiraceae_Thiohalospira             -          LKAP-TSAKG2_G08_052_2018_2 -                2     809      33     837      32     838    1318    +    7.9e-224  743.8  15.9  -
Methylococcaceae_Methylobacter                   -          LKAP-TSAKG2_G08_052_2018_2 -               53     860      26     837      20     838    1500    +    8.7e-224  743.4  16.5  -
Moraxellaceae_Alkanindiges                       -          LKAP-TSAKG2_G08_052_2018_2 -               20     830      26     837      20     838    1396    +    4.3e-222  738.1  16.3  -
Halieaceae_Haliea                                -          LKAP-TSAKG2_G08_052_2018_2 -               53     860      26     835      20     838    1500    +    5.4e-222  737.6  16.8  -
Oceanospirillaceae_Neptuniibacter                -          LKAP-TSAKG2_G08_052_2018_2 -               60     874      26     838       8     838    1541    +    9.7e-222  736.5  16.7  -
Oceanospirillaceae_Thalassolituus                -          LKAP-TSAKG2_G08_052_2018_2 -               40     854      26     838      19     838    1476    +    4.2e-221  734.6  16.5  -
Shewanellaceae_Shewanella                        -          LKAP-TSAKG2_G08_052_2018_2 -               33     851      26     838      15     838    1483    +    6.6e-221  734.0  16.7  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          LKAP-TSAKG2_G08_052_2018_2 -               24     836      26     837      15     838    1438    +    1.7e-220  732.4  16.4  -
Gammaproteobacteria_Sedimenticola                -          LKAP-TSAKG2_G08_052_2018_2 -               47     867      26     837       9     838    1540    +      2e-220  732.4  16.5  -
Cellvibrionaceae_Cellvibrio                      -          LKAP-TSAKG2_G08_052_2018_2 -               53     862      26     838      19     838    1505    +    2.3e-220  732.2  16.4  -
Pseudomonadaceae_Azotobacter                     -          LKAP-TSAKG2_G08_052_2018_2 -               40     849      26     837      14     838    1473    +    2.7e-220  732.1  16.2  -
Pseudomonadaceae_Azomonas                        -          LKAP-TSAKG2_G08_052_2018_2 -               16     830      26     837      20     838    1453    +    3.5e-220  731.6  16.3  -
Chromobacteriaceae_Aquaspirillum                 -          LKAP-TSAKG2_G08_052_2018_2 -               49     861      23     837      15     838    1488    +    6.1e-220  730.9  16.4  -
Idiomarinaceae_Aliidiomarina                     -          LKAP-TSAKG2_G08_052_2018_2 -                7     821      25     836      21     838    1410    +    7.4e-220  730.3  16.5  -
Spongiibacteraceae_Spongiibacter                 -          LKAP-TSAKG2_G08_052_2018_2 -               67     843      63     837      41     838    1441    +    2.8e-219  728.5  16.3  -
Legionellaceae_Legionella                        -          LKAP-TSAKG2_G08_052_2018_2 -               29     846      26     837      18     838    1446    +    3.3e-219  728.5  16.5  -
Methylococcaceae_Methylosarcina                  -          LKAP-TSAKG2_G08_052_2018_2 -               47     854      26     837      20     838    1515    +      1e-218  726.6  16.5  -
Thiotrichaceae_Thiothrix                         -          LKAP-TSAKG2_G08_052_2018_2 -               33     800      26     837      16     838    1417    +    1.3e-218  726.4  16.8  -
Chromatiaceae_Thiorhodococcus                    -          LKAP-TSAKG2_G08_052_2018_2 -               39     810      63     837      41     838    1426    +      5e-218  724.5  16.5  -
Piscirickettsiaceae_Methylophaga                 -          LKAP-TSAKG2_G08_052_2018_2 -               32     797      26     793      19     814    1487    +    5.8e-217  720.8  16.7  -
Gammaproteobacteria_Alkalimonas                  -          LKAP-TSAKG2_G08_052_2018_2 -               51     825      26     798      19     826    1502    +    1.2e-216  719.9  16.6  -
Thioalkalispiraceae_Thioprofundum                -          LKAP-TSAKG2_G08_052_2018_2 -               49     870      26     837      20     838    1537    +    1.2e-216  720.1  16.4  -
Halieaceae_Parahaliea                            -          LKAP-TSAKG2_G08_052_2018_2 -               65     842      63     838      42     838    1498    +    2.9e-216  718.6  16.4  -
Oceanospirillaceae_Oleispira                     -          LKAP-TSAKG2_G08_052_2018_2 -               53     867      26     838      19     838    1500    +    3.7e-216  718.3  16.5  -
Ectothiorhodospiraceae_Alkalilimnicola           -          LKAP-TSAKG2_G08_052_2018_2 -               47     858      26     837      20     838    1472    +    3.9e-216  718.4  16.6  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-TSAKG2_G08_052_2018_2 -               30     829      24     808       8     830    1475    +    4.4e-216  717.8  16.7  -
Idiomarinaceae_Idiomarina                        -          LKAP-TSAKG2_G08_052_2018_2 -               38     853      26     836      13     838    1471    +    4.8e-216  717.7  16.4  -
Thermoleophilaceae_Thermoleophilum               -          LKAP-TSAKG2_G08_052_2018_2 -               22     849      23     837      19     838    1494    +    5.8e-216  717.6  16.5  -
Hahellaceae_Zooshikella                          -          LKAP-TSAKG2_G08_052_2018_2 -               29     845      23     837       7     838    1483    +    1.3e-215  716.5  16.7  -
Alteromonadaceae_Catenovulum                     -          LKAP-TSAKG2_G08_052_2018_2 -               32     839      25     836       7     838    1451    +    1.4e-215  716.2  16.9  -
Chromatiaceae_Thiohalocapsa                      -          LKAP-TSAKG2_G08_052_2018_2 -               75     848      63     837      42     838    1436    +      2e-215  716.1  16.2  -
Cardiobacteriaceae_Suttonella                    -          LKAP-TSAKG2_G08_052_2018_2 -               34     847      26     837      20     838    1486    +    2.3e-215  716.0  16.7  -
Hahellaceae_Allohahella                          -          LKAP-TSAKG2_G08_052_2018_2 -               49     860      23     837      10     838    1485    +    2.8e-215  715.5  16.7  -
Colwelliaceae_Thalassotalea                      -          LKAP-TSAKG2_G08_052_2018_2 -               33     817      26     808      19     833    1463    +    2.9e-215  715.5  16.5  -
Hahellaceae_Kistimonas                           -          LKAP-TSAKG2_G08_052_2018_2 -               53     867      26     837      20     838    1506    +    6.1e-215  714.3  16.4  -
Chromatiaceae_Halochromatium                     -          LKAP-TSAKG2_G08_052_2018_2 -               63     836      63     837      43     838    1451    +      1e-214  713.8  16.3  -
Oceanospirillales_Salicola                       -          LKAP-TSAKG2_G08_052_2018_2 -               53     857      26     837      19     838    1492    +    8.9e-214  710.3  16.8  -
Methylococcaceae_Methylocaldum                   -          LKAP-TSAKG2_G08_052_2018_2 -               53     867      26     837      20     838    1491    +      1e-213  710.4  16.5  -
Methylococcaceae_Methylovulum                    -          LKAP-TSAKG2_G08_052_2018_2 -               81     856      64     837      44     838    1492    +    1.3e-213  709.8  16.2  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP-TSAKG2_G08_052_2018_2 -               31     842      25     837      15     838    1461    +    1.8e-213  709.2  16.5  -
Lysobacteraceae_Luteimonas                       -          LKAP-TSAKG2_G08_052_2018_2 -               33     851      22     834       6     838    1490    +      2e-213  709.2  16.9  -
Chromatiaceae_Thiophaeococcus                    -          LKAP-TSAKG2_G08_052_2018_2 -               55     826      64     837      43     838    1440    +    3.8e-213  708.4  16.6  -
Colwelliaceae_Colwellia                          -          LKAP-TSAKG2_G08_052_2018_2 -               32     848      25     837      18     838    1485    +    4.3e-213  708.1  16.5  -
Chromatiaceae_Thiodictyon                        -          LKAP-TSAKG2_G08_052_2018_2 -               66     838      64     837      43     838    1500    +    4.6e-213  708.3  16.5  -
Alteromonadaceae_Agarivorans                     -          LKAP-TSAKG2_G08_052_2018_2 -               40     813      26     795      20     815    1454    +    6.4e-213  707.6  16.8  -
Halieaceae_Halioglobus                           -          LKAP-TSAKG2_G08_052_2018_2 -               65     841      64     838      43     838    1433    +    1.1e-212  706.9  16.3  -
Cellvibrionaceae_Marinimicrobium                 -          LKAP-TSAKG2_G08_052_2018_2 -               65     841      65     838      45     838    1455    +    1.8e-212  706.0  16.4  -
Salinisphaeraceae_Salinisphaera                  -          LKAP-TSAKG2_G08_052_2018_2 -               17     796      23     800      12     820    1429    +    6.5e-212  704.3  17.0  -
Ectothiorhodospiraceae_Aquisalimonas             -          LKAP-TSAKG2_G08_052_2018_2 -               54     865      26     837      20     838    1464    +    7.6e-212  704.1  16.7  -
Ectothiorhodospiraceae_Spiribacter               -          LKAP-TSAKG2_G08_052_2018_2 -               63     873      26     837      20     838    1544    +    7.9e-212  704.1  16.6  -
Cellvibrionaceae_Eionea                          -          LKAP-TSAKG2_G08_052_2018_2 -               35     844      26     837      20     838    1469    +    8.2e-212  703.8  15.9  -
Pseudoalteromonadaceae_Algicola                  -          LKAP-TSAKG2_G08_052_2018_2 -               48     862      26     838      20     838    1490    +    1.4e-211  703.0  16.5  -
Spongiibacteraceae_Zhongshania                   -          LKAP-TSAKG2_G08_052_2018_2 -               53     863      26     838      16     838    1501    +    2.3e-211  702.3  16.5  -
Cellvibrionaceae_Umboniibacter                   -          LKAP-TSAKG2_G08_052_2018_2 -               76     852      64     838      43     838    1507    +      3e-211  702.2  16.4  -
Moraxellaceae_Paraperlucidibaca                  -          LKAP-TSAKG2_G08_052_2018_2 -               67     843      64     838      43     838    1460    +      3e-211  701.9  16.2  -
