# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Sporosarcina                      -          LKAP-TSAKG2_H08_050_2018_2 -               15     819      16     823      12     823    1504    +    9.8e-304 1008.5  22.1  -
Bacillaceae_Lysinibacillus                       -          LKAP-TSAKG2_H08_050_2018_2 -               15     823      16     823       8     823    1476    +      6e-285  946.1  22.2  -
Planococcaceae_Paenisporosarcina                 -          LKAP-TSAKG2_H08_050_2018_2 -                7     814      17     823      13     823    1481    +    2.8e-283  940.6  22.1  -
Planococcaceae_Chryseomicrobium                  -          LKAP-TSAKG2_H08_050_2018_2 -               15     821      16     823      10     823    1483    +    1.2e-280  931.9  22.1  -
Bacillaceae_Anoxybacillus                        -          LKAP-TSAKG2_H08_050_2018_2 -               17     821      17     822      11     823    1495    +    5.7e-279  926.5  22.0  -
Planococcaceae_Planomicrobium                    -          LKAP-TSAKG2_H08_050_2018_2 -               15     819      16     823      11     823    1485    +    1.9e-278  924.8  21.8  -
Bacillaceae_Psychrobacillus                      -          LKAP-TSAKG2_H08_050_2018_2 -               22     829      16     823       9     823    1503    +    2.2e-278  924.4  22.0  -
Planococcaceae_Planococcus                       -          LKAP-TSAKG2_H08_050_2018_2 -               26     829      17     823      12     823    1492    +    4.5e-278  923.5  21.8  -
Bacillaceae_Domibacillus                         -          LKAP-TSAKG2_H08_050_2018_2 -               15     820      16     823      10     823    1476    +    2.2e-277  921.3  22.0  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-TSAKG2_H08_050_2018_2 -               16     821      17     823      11     823    1507    +    3.1e-275  914.0  22.0  -
Planococcaceae_Ureibacillus                      -          LKAP-TSAKG2_H08_050_2018_2 -               23     829      17     823      12     823    1497    +    1.6e-272  905.1  22.3  -
Planococcaceae_Bhargavaea                        -          LKAP-TSAKG2_H08_050_2018_2 -               35     838      16     823       7     823    1544    +    1.1e-270  899.0  22.2  -
Bacillaceae_Viridibacillus                       -          LKAP-TSAKG2_H08_050_2018_2 -               16     821      17     823      13     823    1505    +    1.9e-270  898.0  21.9  -
Planococcaceae_Caryophanon                       -          LKAP-TSAKG2_H08_050_2018_2 -               43     852      17     823      12     823    1492    +    5.9e-269  893.1  22.1  -
Listeriaceae_Listeria                            -          LKAP-TSAKG2_H08_050_2018_2 -                2     806      19     823      18     823    1458    +    1.9e-268  891.8  21.8  -
Planococcaceae_Kurthia                           -          LKAP-TSAKG2_H08_050_2018_2 -               16     821      17     823      10     823    1479    +    2.1e-268  891.3  22.2  -
Bacillaceae_Fictibacillus                        -          LKAP-TSAKG2_H08_050_2018_2 -                2     799      22     822      21     823    1439    +    3.5e-268  890.6  22.3  -
Bacillales_Solibacillus                          -          LKAP-TSAKG2_H08_050_2018_2 -               19     828      17     823      10     823    1525    +    8.4e-266  882.8  22.1  -
Bacillales_Rummeliibacillus                      -          LKAP-TSAKG2_H08_050_2018_2 -               15     817      16     823      10     823    1473    +    3.9e-264  877.3  22.2  -
Bacillaceae_Oceanobacillus                       -          LKAP-TSAKG2_H08_050_2018_2 -               15     835      16     823       9     823    1508    +    2.9e-263  874.5  22.3  -
Staphylococcaceae_Macrococcus                    -          LKAP-TSAKG2_H08_050_2018_2 -               36     842      17     823      13     823    1547    +    3.2e-263  874.3  22.3  -
Bacillaceae_Pontibacillus                        -          LKAP-TSAKG2_H08_050_2018_2 -                2     817      19     823      18     823    1469    +    7.3e-263  873.1  22.2  -
Bacillaceae_Virgibacillus                        -          LKAP-TSAKG2_H08_050_2018_2 -               15     837      16     823      11     823    1519    +    4.5e-259  860.7  22.5  -
Staphylococcaceae_Salinicoccus                   -          LKAP-TSAKG2_H08_050_2018_2 -                7     813      16     823      12     823    1476    +    8.4e-258  856.4  22.2  -
Bacillaceae_Salinibacillus                       -          LKAP-TSAKG2_H08_050_2018_2 -               14     833      17     823      12     823    1471    +    1.9e-257  855.3  22.4  -
Staphylococcaceae_Staphylococcus                 -          LKAP-TSAKG2_H08_050_2018_2 -               25     829      17     823      12     823    1484    +    7.8e-257  853.0  21.8  -
Bacillaceae_Ornithinibacillus                    -          LKAP-TSAKG2_H08_050_2018_2 -               15     833      16     823       9     823    1482    +    2.6e-256  851.4  22.2  -
Enterococcaceae_Vagococcus                       -          LKAP-TSAKG2_H08_050_2018_2 -               16     830      17     822      11     823    1472    +    2.1e-254  845.1  21.8  -
Bacillaceae_Aquibacillus                         -          LKAP-TSAKG2_H08_050_2018_2 -               32     852      16     823       9     823    1524    +    2.3e-254  844.9  22.5  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-TSAKG2_H08_050_2018_2 -               36     852      17     823      13     823    1553    +    4.8e-254  844.0  22.5  -
Aerococcaceae_Facklamia                          -          LKAP-TSAKG2_H08_050_2018_2 -               16     823      17     823      13     823    1501    +    2.6e-253  841.5  22.1  -
Bacillaceae_Geobacillus                          -          LKAP-TSAKG2_H08_050_2018_2 -               29     836      16     822      11     823    1527    +    4.2e-253  840.9  22.1  -
Bacillaceae_Lentibacillus                        -          LKAP-TSAKG2_H08_050_2018_2 -                6     827      17     823      12     823    1470    +    4.8e-252  837.4  22.5  -
Bacillaceae_Terribacillus                        -          LKAP-TSAKG2_H08_050_2018_2 -               10     826      17     823      10     823    1472    +    7.8e-252  836.7  22.6  -
Carnobacteriaceae_Jeotgalibaca                   -          LKAP-TSAKG2_H08_050_2018_2 -                6     813      16     822      12     823    1453    +      1e-251  836.0  21.9  -
Enterococcaceae_Enterococcus                     -          LKAP-TSAKG2_H08_050_2018_2 -               15     829      16     822      10     823    1502    +    1.3e-251  835.8  21.6  -
Bacillaceae_Sediminibacillus                     -          LKAP-TSAKG2_H08_050_2018_2 -                2     819      22     823      21     823    1478    +    1.9e-251  835.3  22.7  -
Bacillales_Geomicrobium                          -          LKAP-TSAKG2_H08_050_2018_2 -               27     832      17     822      12     823    1537    +    2.4e-251  835.0  22.3  -
Bacillaceae_Gracilibacillus                      -          LKAP-TSAKG2_H08_050_2018_2 -               17     837      16     823       8     823    1511    +    3.6e-251  834.4  22.4  -
Paenibacillaceae_Aneurinibacillus                -          LKAP-TSAKG2_H08_050_2018_2 -               18     812      17     821      13     823    1483    +    5.6e-251  833.6  22.0  -
Bacillales_Exiguobacterium                       -          LKAP-TSAKG2_H08_050_2018_2 -               29     844      17     823      11     823    1526    +      2e-250  831.9  22.4  -
Bacillaceae_Alkalibacillus                       -          LKAP-TSAKG2_H08_050_2018_2 -                6     828      16     823      12     823    1492    +    1.1e-249  829.5  22.5  -
Sporolactobacillaceae_Sporolactobacillus         -          LKAP-TSAKG2_H08_050_2018_2 -               15     818      16     822      10     823    1503    +    1.5e-249  828.9  22.3  -
Carnobacteriaceae_Carnobacterium                 -          LKAP-TSAKG2_H08_050_2018_2 -               34     849      16     822      10     823    1520    +    2.5e-249  828.3  22.1  -
