# target name                                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae_Shewanella                        -          F0117_LKAP-FHGF1_A12_096 -               20     871       6     855       1     855    1483    +           0 1034.6  20.3  -
Ferrimonadaceae_Ferrimonas                       -          F0117_LKAP-FHGF1_A12_096 -               19     879       5     855       1     855    1475    +    1.6e-283  941.3  20.0  -
Aeromonadaceae_Aeromonas                         -          F0117_LKAP-FHGF1_A12_096 -               37     890       4     855       1     855    1503    +      1e-278  925.5  20.0  -
Moritellaceae_Paramoritella                      -          F0117_LKAP-FHGF1_A12_096 -               27     867      11     855       1     855    1512    +    1.3e-273  908.6  20.7  -
Vibrionaceae_Photobacterium                      -          F0117_LKAP-FHGF1_A12_096 -               20     878       6     854       1     855    1487    +    1.2e-271  902.1  20.2  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          F0117_LKAP-FHGF1_A12_096 -               20     863       6     855       1     855    1461    +    8.5e-270  896.0  19.6  -
Aeromonadaceae_Oceanisphaera                     -          F0117_LKAP-FHGF1_A12_096 -               18     868       4     855       1     855    1464    +    1.5e-269  895.1  20.2  -
Vibrionaceae_Enterovibrio                        -          F0117_LKAP-FHGF1_A12_096 -               18     872       4     854       1     855    1499    +      3e-269  894.0  20.1  -
Aeromonadaceae_Oceanimonas                       -          F0117_LKAP-FHGF1_A12_096 -               16     868       5     855       1     855    1483    +    9.2e-269  892.5  20.1  -
Aeromonadaceae_Pseudaeromonas                    -          F0117_LKAP-FHGF1_A12_096 -               50     852      52     855      18     855    1491    +    9.3e-268  889.2  20.5  -
Aeromonadaceae_Zobellella                        -          F0117_LKAP-FHGF1_A12_096 -               25     876       4     855       1     855    1478    +    2.3e-265  881.2  20.2  -
Vibrionaceae_Vibrio                              -          F0117_LKAP-FHGF1_A12_096 -               19     878       5     854       1     855    1466    +    3.4e-263  874.1  20.0  -
Colwelliaceae_Colwellia                          -          F0117_LKAP-FHGF1_A12_096 -               27     869      11     855       1     855    1485    +    3.4e-262  870.9  20.2  -
Psychromonadaceae_Psychromonas                   -          F0117_LKAP-FHGF1_A12_096 -               23     869       9     855       1     855    1467    +    1.1e-261  869.3  20.1  -
Moritellaceae_Moritella                          -          F0117_LKAP-FHGF1_A12_096 -               47     891      11     855       1     855    1506    +    1.6e-261  868.5  20.1  -
Yersiniaceae_Serratia                            -          F0117_LKAP-FHGF1_A12_096 -               23     873       5     855       1     855    1491    +    8.4e-261  866.2  20.2  -
Colwelliaceae_Thalassotalea                      -          F0117_LKAP-FHGF1_A12_096 -               27     867      11     855       1     855    1463    +    1.3e-260  865.8  20.3  -
Erwiniaceae_Erwinia                              -          F0117_LKAP-FHGF1_A12_096 -               19     869       5     855       1     855    1495    +    6.7e-259  860.1  20.1  -
Alteromonadaceae_Agarivorans                     -          F0117_LKAP-FHGF1_A12_096 -               34     876      11     855       1     855    1454    +    1.2e-258  859.1  20.1  -
Aeromonadaceae_Tolumonas                         -          F0117_LKAP-FHGF1_A12_096 -               30     880       6     855       1     855    1514    +    1.6e-258  858.7  20.3  -
Idiomarinaceae_Idiomarina                        -          F0117_LKAP-FHGF1_A12_096 -               24     875       5     855       1     855    1471    +    2.5e-258  857.9  20.2  -
Cellvibrionaceae_Simiduia                        -          F0117_LKAP-FHGF1_A12_096 -               19     866       5     854       1     855    1463    +    1.6e-257  855.4  20.4  -
Pectobacteriaceae_Brenneria                      -          F0117_LKAP-FHGF1_A12_096 -                5     847      11     855       8     855    1457    +    2.1e-257  854.9  20.2  -
Pseudoalteromonadaceae_Algicola                  -          F0117_LKAP-FHGF1_A12_096 -               33     881       4     854       1     855    1490    +    2.2e-257  854.9  20.4  -
Oceanospirillaceae_Thalassolituus                -          F0117_LKAP-FHGF1_A12_096 -               34     874      11     855       1     855    1476    +    1.7e-254  845.3  20.6  -
Pectobacteriaceae_Pectobacterium                 -          F0117_LKAP-FHGF1_A12_096 -               27     877       5     855       1     855    1499    +      2e-254  845.2  20.1  -
Hafniaceae_Hafnia                                -          F0117_LKAP-FHGF1_A12_096 -               21     869       7     855       1     855    1463    +    2.4e-254  844.8  20.2  -
Colwelliaceae_Thalassomonas                      -          F0117_LKAP-FHGF1_A12_096 -               27     867      11     855       1     855    1462    +    6.9e-254  843.3  19.9  -
Yersiniaceae_Yersinia                            -          F0117_LKAP-FHGF1_A12_096 -               18     869       4     855       1     855    1461    +    2.4e-253  841.6  20.1  -
Enterobacteriaceae_Cronobacter                   -          F0117_LKAP-FHGF1_A12_096 -                4     846      11     855       9     855    1422    +    7.7e-253  839.9  20.1  -
Enterobacteriaceae_Enterobacter                  -          F0117_LKAP-FHGF1_A12_096 -               17     865       5     855       1     855    1476    +    1.3e-252  839.1  19.9  -
Cellvibrionaceae_Gilvimarinus                    -          F0117_LKAP-FHGF1_A12_096 -               15     858       5     855       1     855    1445    +    1.5e-252  838.8  20.8  -
Morganellaceae_Proteus                           -          F0117_LKAP-FHGF1_A12_096 -               28     879       4     855       1     855    1494    +    1.6e-252  838.8  20.2  -
Yersiniaceae_Rouxiella                           -          F0117_LKAP-FHGF1_A12_096 -               47     898       4     855       1     855    1551    +    5.1e-252  837.1  19.7  -
Gammaproteobacteria_Gallaecimonas                -          F0117_LKAP-FHGF1_A12_096 -               40     889       6     855       1     855    1506    +    5.5e-252  837.0  20.0  -
Pectobacteriaceae_Dickeya                        -          F0117_LKAP-FHGF1_A12_096 -               16     866       5     855       1     855    1421    +    8.8e-252  836.4  20.1  -
Enterobacteriaceae_Kluyvera                      -          F0117_LKAP-FHGF1_A12_096 -                7     855       5     855       1     855    1455    +    1.4e-251  835.7  20.0  -
Pseudomonadaceae_Pseudomonas                     -          F0117_LKAP-FHGF1_A12_096 -               26     873       5     855       1     855    1502    +    1.6e-251  835.6  20.6  -
Alteromonadaceae_Marinobacter                    -          F0117_LKAP-FHGF1_A12_096 -               20     867       6     855       1     855    1478    +    1.6e-251  835.5  20.7  -
Morganellaceae_Providencia                       -          F0117_LKAP-FHGF1_A12_096 -               26     875       4     855       1     855    1489    +    2.6e-251  834.7  20.3  -
Enterobacteriaceae_Escherichia                   -          F0117_LKAP-FHGF1_A12_096 -               18     869       4     855       1     855    1480    +    8.1e-251  833.3  19.8  -
Enterobacteriaceae_Klebsiella                    -          F0117_LKAP-FHGF1_A12_096 -               30     879       4     855       1     855    1436    +    8.2e-251  833.2  20.0  -
Enterobacteriaceae_Citrobacter                   -          F0117_LKAP-FHGF1_A12_096 -               33     884       4     855       1     855    1517    +    1.3e-250  832.4  19.8  -
Morganellaceae_Xenorhabdus                       -          F0117_LKAP-FHGF1_A12_096 -               20     870       4     854       1     855    1493    +    1.5e-250  832.4  20.1  -
Enterobacteriaceae_Raoultella                    -          F0117_LKAP-FHGF1_A12_096 -               16     865       4     855       1     855    1452    +    1.7e-250  832.2  20.1  -
Enterobacteriaceae_Siccibacter                   -          F0117_LKAP-FHGF1_A12_096 -               48     896       7     855       1     855    1451    +    6.4e-250  830.4  19.8  -
Erwiniaceae_Tatumella                            -          F0117_LKAP-FHGF1_A12_096 -               18     869       4     855       1     855    1490    +    6.6e-250  830.2  20.2  -
Alteromonadaceae_Catenovulum                     -          F0117_LKAP-FHGF1_A12_096 -               21     861       7     855       1     855    1451    +    1.1e-249  829.3  19.6  -
Oceanospirillaceae_Marinospirillum               -          F0117_LKAP-FHGF1_A12_096 -               18     861       4     855       1     855    1451    +    1.1e-249  829.5  20.2  -
Enterobacteriaceae_Pluralibacter                 -          F0117_LKAP-FHGF1_A12_096 -               38     892       4     855       1     855    1532    +    1.8e-249  828.7  20.3  -
Celerinatantimonadaceae_Celerinatantimonas       -          F0117_LKAP-FHGF1_A12_096 -               14     876       5     855       1     855    1433    +    2.6e-249  828.3  20.2  -
Gammaproteobacteria_Alkalimonas                  -          F0117_LKAP-FHGF1_A12_096 -               36     884       4     854       1     855    1502    +    3.7e-249  827.7  20.6  -
Enterobacteriaceae_Shigella                      -          F0117_LKAP-FHGF1_A12_096 -               26     877       4     855       1     855    1488    +    3.8e-249  827.7  19.8  -
Vibrionaceae_Grimontia                           -          F0117_LKAP-FHGF1_A12_096 -               18     878       4     854       1     855    1493    +    6.5e-249  826.8  20.3  -
Erwiniaceae_Pantoea                              -          F0117_LKAP-FHGF1_A12_096 -                4     806      52     855      49     855    1416    +    7.6e-249  826.7  21.4  -
Pectobacteriaceae_Sodalis                        -          F0117_LKAP-FHGF1_A12_096 -               14     865       4     855       1     855    1511    +    1.6e-248  825.5  20.0  -
Budviciaceae_Budvicia                            -          F0117_LKAP-FHGF1_A12_096 -               39     890       4     855       1     855    1536    +    1.8e-248  825.3  20.3  -
Enterobacteriaceae_Buttiauxella                  -          F0117_LKAP-FHGF1_A12_096 -               24     873       4     855       1     855    1503    +    3.8e-248  824.4  20.5  -
Vibrionaceae_Aliivibrio                          -          F0117_LKAP-FHGF1_A12_096 -               43     892       5     854       1     855    1474    +    4.8e-248  824.2  20.0  -
Enterobacteriaceae_Pseudocitrobacter             -          F0117_LKAP-FHGF1_A12_096 -               24     866      11     855       1     855    1459    +    4.8e-248  824.0  20.1  -
Enterobacteriaceae_Gibbsiella                    -          F0117_LKAP-FHGF1_A12_096 -               15     831      37     855      21     855    1396    +    5.9e-247  820.5  20.4  -
Enterobacteriaceae_Salmonella                    -          F0117_LKAP-FHGF1_A12_096 -               15     865       5     855       1     855    1457    +      6e-247  820.5  19.9  -
Enterobacteriaceae_Lelliottia                    -          F0117_LKAP-FHGF1_A12_096 -               13     862       4     855       1     855    1449    +    1.5e-246  819.1  20.5  -
Idiomarinaceae_Aliidiomarina                     -          F0117_LKAP-FHGF1_A12_096 -                3     843      12     855      10     855    1410    +    2.7e-246  818.0  20.3  -
Pseudoalteromonadaceae_Psychrosphaera            -          F0117_LKAP-FHGF1_A12_096 -               22     864       4     855       1     855    1450    +    4.3e-246  817.5  20.2  -
Alteromonadaceae_Bowmanella                      -          F0117_LKAP-FHGF1_A12_096 -               36     881       4     855       1     855    1496    +      5e-246  817.3  19.5  -
Chromatiaceae_Rheinheimera                       -          F0117_LKAP-FHGF1_A12_096 -               26     857       5     854       1     855    1472    +    5.1e-246  817.3  20.8  -
Alteromonadaceae_Marinobacterium                 -          F0117_LKAP-FHGF1_A12_096 -               18     869       4     855       1     855    1465    +    6.5e-246  816.9  20.6  -
Alteromonadaceae_Alteromonas                     -          F0117_LKAP-FHGF1_A12_096 -               18     861       4     855       1     855    1464    +    6.9e-246  816.7  19.7  -
Enterobacteriaceae_Kosakonia                     -          F0117_LKAP-FHGF1_A12_096 -                8     847      12     855       7     855    1422    +    4.7e-245  813.8  19.7  -
Alcanivoracaceae_Alcanivorax                     -          F0117_LKAP-FHGF1_A12_096 -               38     888       4     855       1     855    1505    +    5.7e-245  813.6  20.4  -
Alteromonadaceae_Aestuariibacter                 -          F0117_LKAP-FHGF1_A12_096 -               19     861       5     855       1     855    1455    +    6.2e-245  813.6  19.6  -
Cellvibrionaceae_Eionea                          -          F0117_LKAP-FHGF1_A12_096 -               20     865       4     855       1     855    1469    +    2.2e-244  811.8  20.0  -
