# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          A0516_LKAP-FHGF1_D07_057 -               24     963       6     938       2     938    1474    +           0 1083.8  18.5  -
Alteromonadales           -          A0516_LKAP-FHGF1_D07_057 -               24     954       6     938       2     938    1468    +    7.2e-293  969.8  18.4  -
Pseudoalteromonadaceae    -          A0516_LKAP-FHGF1_D07_057 -               23     949       5     938       2     938    1469    +    1.5e-291  965.6  17.7  -
Ferrimonadaceae           -          A0516_LKAP-FHGF1_D07_057 -               24     963       6     938       2     938    1475    +      4e-291  964.1  18.4  -
Shewanellaceae            -          A0516_LKAP-FHGF1_D07_057 -               23     955       5     938       2     938    1483    +    5.6e-291  963.8  18.1  -
Aeromonadaceae            -          A0516_LKAP-FHGF1_D07_057 -               36     967       6     938       3     938    1496    +    2.1e-289  958.4  18.4  -
Gammaproteobacteria       -          A0516_LKAP-FHGF1_D07_057 -               24     952       6     938       3     938    1481    +    2.7e-289  958.0  18.1  -
Alteromonadaceae          -          A0516_LKAP-FHGF1_D07_057 -               24     952       6     938       3     938    1468    +    7.1e-288  953.4  18.6  -
Enterobacteriaceae        -          A0516_LKAP-FHGF1_D07_057 -               24     953       6     938       2     938    1465    +    7.1e-288  953.6  18.5  -
Erwiniaceae               -          A0516_LKAP-FHGF1_D07_057 -               19     948       6     938       2     938    1483    +    5.9e-285  943.9  18.5  -
Yersiniaceae              -          A0516_LKAP-FHGF1_D07_057 -               24     953       6     938       3     938    1473    +    1.6e-284  942.4  18.5  -
Hafniaceae                -          A0516_LKAP-FHGF1_D07_057 -               18     947       6     938       2     938    1459    +    7.8e-284  940.0  18.5  -
Pectobacteriaceae         -          A0516_LKAP-FHGF1_D07_057 -               21     950       6     938       2     938    1477    +    2.8e-283  938.3  18.4  -
Morganellaceae            -          A0516_LKAP-FHGF1_D07_057 -               27     956       6     938       3     938    1487    +    9.7e-283  936.7  18.4  -
Colwelliaceae             -          A0516_LKAP-FHGF1_D07_057 -               24     954       6     938       3     938    1467    +    1.2e-282  936.3  18.4  -
Idiomarinaceae            -          A0516_LKAP-FHGF1_D07_057 -               24     954       6     938       2     938    1466    +    7.3e-281  930.1  18.3  -
Oceanospirillaceae        -          A0516_LKAP-FHGF1_D07_057 -               24     954       6     938       3     938    1467    +    3.9e-278  921.1  18.4  -
Psychromonadaceae         -          A0516_LKAP-FHGF1_D07_057 -               24     953       6     938       2     938    1467    +    1.7e-276  915.9  18.4  -
Moritellaceae             -          A0516_LKAP-FHGF1_D07_057 -               39     970       6     938       3     938    1501    +    6.5e-275  910.4  18.2  -
Budviciaceae              -          A0516_LKAP-FHGF1_D07_057 -               14     943       6     938       3     938    1483    +    1.6e-272  902.6  18.5  -
Cellvibrionaceae          -          A0516_LKAP-FHGF1_D07_057 -               24     952       6     938       3     938    1472    +    2.5e-272  902.0  18.6  -
Celerinatantimonadaceae   -          A0516_LKAP-FHGF1_D07_057 -               19     960       6     938       3     938    1433    +    2.6e-272  902.0  18.6  -
Oceanospirillales         -          A0516_LKAP-FHGF1_D07_057 -               30     958       6     938       2     938    1489    +      6e-272  900.6  18.6  -
Pseudomonadaceae          -          A0516_LKAP-FHGF1_D07_057 -               30     957       5     938       2     938    1491    +    1.1e-271  899.8  18.4  -
Chromatiaceae             -          A0516_LKAP-FHGF1_D07_057 -               24     942       6     938       3     938    1455    +    1.2e-270  896.6  19.0  -
Piscirickettsiaceae       -          A0516_LKAP-FHGF1_D07_057 -               26     956       6     938       3     938    1466    +    7.3e-270  893.7  18.4  -
Alcanivoracaceae          -          A0516_LKAP-FHGF1_D07_057 -               44     972       6     938       3     938    1504    +    1.5e-268  889.4  18.5  -
Pasteurellaceae           -          A0516_LKAP-FHGF1_D07_057 -               24     954       6     938       3     938    1422    +    5.9e-267  884.2  18.4  -
Thorselliaceae            -          A0516_LKAP-FHGF1_D07_057 -                6     922      14     938      10     938    1419    +      7e-267  883.9  18.9  -
Succinivibrionaceae       -          A0516_LKAP-FHGF1_D07_057 -               27     930       6     938       3     938    1473    +    3.6e-266  881.6  18.5  -
Methylococcaceae          -          A0516_LKAP-FHGF1_D07_057 -               38     960       6     938       3     938    1481    +    4.8e-265  877.8  18.7  -
Hahellaceae               -          A0516_LKAP-FHGF1_D07_057 -               24     951       6     938       3     938    1473    +    2.5e-264  875.5  18.5  -
Orbaceae                  -          A0516_LKAP-FHGF1_D07_057 -               51     977       6     938       3     938    1539    +    1.4e-262  869.6  18.4  -
Spongiibacteraceae        -          A0516_LKAP-FHGF1_D07_057 -               26     950       5     938       2     938    1462    +    3.1e-261  865.1  18.5  -
Ectothiorhodospiraceae    -          A0516_LKAP-FHGF1_D07_057 -               31     959       6     938       3     938    1463    +    1.4e-260  863.1  18.5  -
Litoricolaceae            -          A0516_LKAP-FHGF1_D07_057 -               31     959       5     938       3     938    1474    +    7.5e-260  860.8  18.5  -
Moraxellaceae             -          A0516_LKAP-FHGF1_D07_057 -               21     944       6     938       3     938    1468    +    1.7e-259  859.6  18.8  -
Halieaceae                -          A0516_LKAP-FHGF1_D07_057 -               32     953       6     938       3     938    1484    +    6.4e-259  857.5  19.0  -
Thioalkalispiraceae       -          A0516_LKAP-FHGF1_D07_057 -               36     971       6     938       3     938    1479    +    1.1e-258  856.8  18.3  -
Lysobacteraceae           -          A0516_LKAP-FHGF1_D07_057 -               25     955       6     938       3     938    1484    +    1.9e-257  852.7  18.2  -
Kangiellaceae             -          A0516_LKAP-FHGF1_D07_057 -               33     965       6     938       3     938    1479    +    2.8e-257  852.1  18.4  -
Halothiobacillaceae       -          A0516_LKAP-FHGF1_D07_057 -               41     971       6     938       3     938    1500    +    1.8e-256  849.4  18.3  -
Thermoleophilaceae        -          A0516_LKAP-FHGF1_D07_057 -               17     954       6     938       3     938    1494    +    3.6e-256  848.4  18.6  -
Halomonadaceae            -          A0516_LKAP-FHGF1_D07_057 -               24     952       6     938       2     938    1466    +    2.3e-255  845.7  18.6  -
Microbulbiferaceae        -          A0516_LKAP-FHGF1_D07_057 -               24     946       6     938       2     938    1480    +    7.2e-255  844.3  18.6  -
Saccharospirillaceae      -          A0516_LKAP-FHGF1_D07_057 -               25     946       6     938       2     938    1468    +      5e-252  834.7  18.6  -
Chromobacteriaceae        -          A0516_LKAP-FHGF1_D07_057 -               22     945       5     938       2     938    1460    +    8.8e-251  830.7  18.7  -
Thiotrichaceae            -          A0516_LKAP-FHGF1_D07_057 -               24     909       6     938       3     938    1421    +    7.9e-248  820.7  17.7  -
Cardiobacteriaceae        -          A0516_LKAP-FHGF1_D07_057 -               32     957       6     938       3     938    1464    +    3.7e-247  818.9  18.2  -
Granulosicoccaceae        -          A0516_LKAP-FHGF1_D07_057 -               24     954       6     938       3     938    1471    +    8.3e-247  817.5  18.7  -
Legionellaceae            -          A0516_LKAP-FHGF1_D07_057 -               20     951       6     938       3     938    1446    +    6.7e-245  811.2  18.4  -
Rhodocyclaceae            -          A0516_LKAP-FHGF1_D07_057 -               23     950       5     938       3     938    1484    +    9.4e-244  807.3  18.4  -
Nevskiaceae               -          A0516_LKAP-FHGF1_D07_057 -               33     947       6     938       3     938    1470    +    1.1e-242  804.0  18.3  -
Rhodanobacteraceae        -          A0516_LKAP-FHGF1_D07_057 -               25     955       6     938       3     938    1473    +    1.8e-242  803.1  18.2  -
Coxiellaceae              -          A0516_LKAP-FHGF1_D07_057 -               24     960       6     938       3     938    1475    +    1.1e-240  797.2  18.4  -
Rhodospirillaceae         -          A0516_LKAP-FHGF1_D07_057 -               26     901       6     938       3     938    1429    +    1.4e-238  790.3  17.8  -
Burkholderiaceae          -          A0516_LKAP-FHGF1_D07_057 -               23     946       5     938       3     938    1482    +    3.6e-238  788.9  18.2  -
Methylophilaceae          -          A0516_LKAP-FHGF1_D07_057 -                6     937       5     938       3     938    1431    +    1.4e-237  787.0  18.2  -
Thiotrichales             -          A0516_LKAP-FHGF1_D07_057 -               44     972       6     938       3     938    1519    +      5e-237  784.7  18.1  -
Arenicellaceae            -          A0516_LKAP-FHGF1_D07_057 -               24     947       6     938       3     938    1488    +      1e-236  784.1  18.7  -
Alcaligenaceae            -          A0516_LKAP-FHGF1_D07_057 -               23     949       5     938       2     938    1467    +    2.3e-236  782.9  18.2  -
Neisseriaceae             -          A0516_LKAP-FHGF1_D07_057 -               37     967       5     938       3     938    1477    +    5.1e-236  781.7  18.3  -
Sulfuricellaceae          -          A0516_LKAP-FHGF1_D07_057 -               24     951       5     938       3     938    1463    +    1.1e-232  770.7  18.1  -
Acidiferrobacteraceae     -          A0516_LKAP-FHGF1_D07_057 -               64     944      56     938      36     938    1454    +    3.3e-232  769.1  18.9  -
Sutterellaceae            -          A0516_LKAP-FHGF1_D07_057 -               23     950       5     938       3     938    1487    +    5.5e-231  764.9  18.3  -
Hydrogenophilaceae        -          A0516_LKAP-FHGF1_D07_057 -               23     948       5     938       2     938    1461    +    1.4e-230  763.8  18.5  -
Salinisphaeraceae         -          A0516_LKAP-FHGF1_D07_057 -               11     938       5     938       2     938    1429    +      2e-230  763.3  18.5  -
Hyphomicrobiaceae         -          A0516_LKAP-FHGF1_D07_057 -               24     897       6     938       3     938    1427    +    6.4e-230  761.6  18.0  -
Oxalobacteraceae          -          A0516_LKAP-FHGF1_D07_057 -               23     948       5     938       2     938    1459    +    5.6e-229  758.5  18.0  -
Burkholderiales           -          A0516_LKAP-FHGF1_D07_057 -               23     947       5     938       3     938    1463    +    9.4e-229  757.6  18.4  -
Francisellaceae           -          A0516_LKAP-FHGF1_D07_057 -               34     954       6     938       3     938    1508    +    1.3e-227  753.8  18.4  -
Geobacteraceae            -          A0516_LKAP-FHGF1_D07_057 -               32     974       6     938       3     938    1487    +    2.7e-227  752.7  18.4  -
Syntrophaceae             -          A0516_LKAP-FHGF1_D07_057 -               41     984       6     938       3     938    1551    +    5.3e-227  751.8  18.4  -
Desulfovibrionaceae       -          A0516_LKAP-FHGF1_D07_057 -               39     975       6     938       3     938    1527    +      2e-226  749.9  18.7  -
Rhodobiaceae              -          A0516_LKAP-FHGF1_D07_057 -               34     905       6     938       3     938    1440    +    3.1e-226  749.5  17.7  -
Desulfobacteraceae        -          A0516_LKAP-FHGF1_D07_057 -               37     985       6     938       3     938    1516    +    7.1e-226  748.0  18.1  -
Acidithiobacillaceae      -          A0516_LKAP-FHGF1_D07_057 -               23     944       6     938       3     938    1457    +    1.6e-225  746.7  18.6  -
Thermithiobacillaceae     -          A0516_LKAP-FHGF1_D07_057 -                9     932       6     938       3     938    1419    +    1.8e-225  746.8  18.4  -
Clostridiaceae            -          A0516_LKAP-FHGF1_D07_057 -               38     942       6     938       3     938    1485    +    8.6e-225  744.3  18.4  -
Zoogloeaceae              -          A0516_LKAP-FHGF1_D07_057 -               30     955       5     938       3     938    1474    +    1.1e-223  740.7  18.4  -
Thiobacilliaceae          -          A0516_LKAP-FHGF1_D07_057 -               42     967       5     938       3     938    1517    +    1.2e-223  740.7  18.5  -
Alphaproteobacteria       -          A0516_LKAP-FHGF1_D07_057 -               24     895       6     938       3     938    1409    +    1.7e-223  740.4  18.2  -
Azonexaceae               -          A0516_LKAP-FHGF1_D07_057 -               24     952       5     938       3     938    1474    +    5.1e-223  738.8  18.4  -
Deltaproteobacteria       -          A0516_LKAP-FHGF1_D07_057 -               40     985       6     938       3     938    1514    +    5.8e-223  738.5  18.4  -
Desulfuromonadaceae       -          A0516_LKAP-FHGF1_D07_057 -               41     984       6     938       3     938    1518    +    7.6e-223  738.1  18.5  -
Eubacteriaceae            -          A0516_LKAP-FHGF1_D07_057 -               38     953       6     938       3     938    1485    +    7.7e-223  738.0  18.3  -
Methylocystaceae          -          A0516_LKAP-FHGF1_D07_057 -               35     907       6     938       3     938    1424    +    1.1e-222  737.7  17.9  -
Syntrophomonadaceae       -          A0516_LKAP-FHGF1_D07_057 -               41     979       6     938       3     938    1515    +    1.1e-222  737.3  18.6  -
Clostridiales             -          A0516_LKAP-FHGF1_D07_057 -               31     946       6     938       3     938    1470    +    1.2e-222  737.4  18.0  -
Wenzhouxiangellaceae      -          A0516_LKAP-FHGF1_D07_057 -               24     958       6     938       2     938    1472    +    3.7e-222  735.6  18.3  -
Methylothermaceae         -          A0516_LKAP-FHGF1_D07_057 -               45     974       6     938       3     938    1491    +      1e-221  734.2  19.0  -
Nitrosomonadaceae         -          A0516_LKAP-FHGF1_D07_057 -               23     949       5     938       2     938    1461    +    1.6e-221  733.8  17.9  -
Comamonadaceae            -          A0516_LKAP-FHGF1_D07_057 -               23     946       5     938       2     938    1466    +    1.8e-221  733.3  18.4  -
Desulfobulbaceae          -          A0516_LKAP-FHGF1_D07_057 -               25     968       6     938       3     938    1483    +    5.8e-221  731.7  18.5  -
Desulfohalobiaceae        -          A0516_LKAP-FHGF1_D07_057 -               30     979       6     938       3     938    1509    +    7.2e-219  724.9  18.8  -
Bdellovibrionaceae        -          A0516_LKAP-FHGF1_D07_057 -               20     922       6     938       3     938    1430    +    1.2e-218  724.1  18.3  -
Sneathiellaceae           -          A0516_LKAP-FHGF1_D07_057 -               29     910       6     938       3     938    1427    +    1.7e-218  723.7  17.8  -
Acetobacteraceae          -          A0516_LKAP-FHGF1_D07_057 -               29     903       6     938       3     938    1438    +      3e-218  723.1  18.6  -
Sphingomonadaceae         -          A0516_LKAP-FHGF1_D07_057 -               31     903       6     938       3     938    1434    +    4.4e-218  722.6  17.0  -
Anaplasmataceae           -          A0516_LKAP-FHGF1_D07_057 -               35     927       6     938       2     938    1441    +    1.6e-217  720.7  17.1  -
Rhizobiales               -          A0516_LKAP-FHGF1_D07_057 -               34     905       6     938       2     938    1438    +    2.4e-217  720.0  18.1  -
Peptococcaceae            -          A0516_LKAP-FHGF1_D07_057 -               31     939       6     938       3     938    1479    +    3.2e-217  719.2  18.3  -
