# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_E11_087_2017_1 -               13     967       7     949       3     951    1474    +           0 1081.6  22.7  -
Alteromonadales           -          LKAP-GUTHK2_E11_087_2017_1 -               14     958       8     949       3     951    1468    +      5e-289  957.1  22.1  -
Enterobacteriaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               14     957       8     949       3     951    1465    +    7.5e-287  950.2  22.4  -
Ferrimonadaceae           -          LKAP-GUTHK2_E11_087_2017_1 -               12     967       6     949       3     951    1475    +    1.7e-286  948.8  22.1  -
Shewanellaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               15     959       9     949       3     951    1483    +    9.7e-286  946.5  21.7  -
Aeromonadaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               25     971       7     949       3     950    1496    +    2.2e-285  945.1  22.2  -
Erwiniaceae               -          LKAP-GUTHK2_E11_087_2017_1 -               18     952      14     949       4     950    1483    +    1.1e-283  939.7  22.3  -
Pseudoalteromonadaceae    -          LKAP-GUTHK2_E11_087_2017_1 -               13     953       7     949       3     951    1469    +      1e-280  929.8  21.2  -
Pectobacteriaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               12     954       9     949       3     951    1477    +    2.6e-280  928.4  22.3  -
Yersiniaceae              -          LKAP-GUTHK2_E11_087_2017_1 -               13     957       7     949       3     951    1473    +    2.7e-280  928.4  22.4  -
Gammaproteobacteria       -          LKAP-GUTHK2_E11_087_2017_1 -               23     956      14     949       4     951    1481    +    3.3e-280  928.0  21.9  -
Alteromonadaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               13     956       7     949       4     951    1468    +    7.3e-280  926.9  22.4  -
Hafniaceae                -          LKAP-GUTHK2_E11_087_2017_1 -               16     951      13     949       4     951    1459    +    1.4e-279  925.9  22.4  -
Morganellaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               16     960       7     949       3     951    1487    +    3.8e-278  921.4  22.3  -
Colwelliaceae             -          LKAP-GUTHK2_E11_087_2017_1 -               13     958       7     949       4     951    1467    +    1.7e-271  899.3  22.2  -
Idiomarinaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               13     958       7     949       3     951    1466    +      5e-271  897.5  22.1  -
Oceanospirillaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               14     958       8     949       4     951    1467    +    1.1e-270  896.5  22.1  -
Budviciaceae              -          LKAP-GUTHK2_E11_087_2017_1 -                3     947       7     949       5     951    1483    +    7.2e-270  893.8  22.3  -
Psychromonadaceae         -          LKAP-GUTHK2_E11_087_2017_1 -               13     957       7     949       3     951    1467    +    1.3e-269  893.1  22.1  -
Moritellaceae             -          LKAP-GUTHK2_E11_087_2017_1 -               38     974      14     949       4     951    1501    +    5.8e-268  887.4  21.9  -
Cellvibrionaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               12     956       6     949       3     951    1472    +    2.7e-263  872.1  22.3  -
Pseudomonadaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               20     961       7     949       3     951    1491    +    2.8e-263  872.0  22.1  -
Oceanospirillales         -          LKAP-GUTHK2_E11_087_2017_1 -               19     962       7     949       3     950    1489    +    3.8e-263  871.4  22.4  -
Celerinatantimonadaceae   -          LKAP-GUTHK2_E11_087_2017_1 -                8     964       7     949       4     950    1433    +      5e-263  871.3  22.2  -
Thorselliaceae            -          LKAP-GUTHK2_E11_087_2017_1 -                6     926      23     949      19     951    1419    +    3.5e-262  868.3  22.4  -
Chromatiaceae             -          LKAP-GUTHK2_E11_087_2017_1 -               23     946      14     949       4     951    1455    +    1.9e-261  866.0  22.8  -
Piscirickettsiaceae       -          LKAP-GUTHK2_E11_087_2017_1 -               25     960      14     949       4     951    1466    +    1.4e-259  859.7  22.2  -
Pasteurellaceae           -          LKAP-GUTHK2_E11_087_2017_1 -               13     958       7     949       4     951    1422    +    3.8e-259  858.4  22.1  -
Alcanivoracaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               33     976       7     949       4     951    1504    +    1.3e-258  856.4  22.0  -
Hahellaceae               -          LKAP-GUTHK2_E11_087_2017_1 -               13     955       7     949       3     950    1473    +    4.9e-257  851.4  22.3  -
Succinivibrionaceae       -          LKAP-GUTHK2_E11_087_2017_1 -               16     934       7     949       4     950    1473    +    1.6e-256  849.6  21.8  -
Orbaceae                  -          LKAP-GUTHK2_E11_087_2017_1 -               40     981       7     949       4     950    1539    +    3.1e-256  848.6  22.4  -
Methylococcaceae          -          LKAP-GUTHK2_E11_087_2017_1 -               38     964      15     949       5     951    1481    +    1.2e-253  840.1  22.3  -
Halieaceae                -          LKAP-GUTHK2_E11_087_2017_1 -               21     957       7     949       4     951    1484    +    7.6e-253  837.4  22.9  -
Thioalkalispiraceae       -          LKAP-GUTHK2_E11_087_2017_1 -               35     975      14     949       3     951    1479    +    6.4e-250  827.7  21.9  -
Moraxellaceae             -          LKAP-GUTHK2_E11_087_2017_1 -               10     948       7     949       3     950    1468    +    1.5e-249  826.7  22.5  -
Thermoleophilaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               17     958      15     949       5     951    1494    +    3.4e-249  825.3  22.0  -
Saccharospirillaceae      -          LKAP-GUTHK2_E11_087_2017_1 -               17     950      10     949       3     951    1468    +    2.1e-248  822.7  21.9  -
Microbulbiferaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               13     950       7     949       3     951    1480    +      3e-248  822.4  22.4  -
Ectothiorhodospiraceae    -          LKAP-GUTHK2_E11_087_2017_1 -               30     963      14     949       4     951    1463    +      4e-248  821.9  22.3  -
Spongiibacteraceae        -          LKAP-GUTHK2_E11_087_2017_1 -               16     954       7     949       3     951    1462    +    6.1e-248  821.1  22.2  -
Halomonadaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               13     956       7     949       3     951    1466    +    6.4e-248  821.0  22.3  -
Litoricolaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               21     963       7     949       4     951    1474    +    7.9e-248  821.0  22.2  -
Lysobacteraceae           -          LKAP-GUTHK2_E11_087_2017_1 -               24     959      14     949       4     950    1484    +    1.5e-247  819.9  22.0  -
Halothiobacillaceae       -          LKAP-GUTHK2_E11_087_2017_1 -               41     975      15     949       4     950    1500    +      1e-246  817.2  22.1  -
Kangiellaceae             -          LKAP-GUTHK2_E11_087_2017_1 -               33     969      15     949       5     951    1479    +    2.2e-245  812.7  21.9  -
Chromobacteriaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               21     949      13     949       3     951    1460    +    1.3e-238  790.5  22.5  -
Cardiobacteriaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               32     961      15     949       4     951    1464    +    5.6e-237  785.2  22.1  -
Thiotrichaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               24     913      15     949       4     951    1421    +    1.3e-236  783.6  20.8  -
Granulosicoccaceae        -          LKAP-GUTHK2_E11_087_2017_1 -               24     958      15     949       5     951    1471    +    2.6e-235  779.4  22.2  -
Rhodocyclaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               22     954      13     949       4     951    1484    +    2.1e-234  776.3  22.1  -
Nevskiaceae               -          LKAP-GUTHK2_E11_087_2017_1 -               33     951      15     949       4     950    1470    +    1.1e-233  774.2  22.3  -
Legionellaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               19     955      14     949       3     951    1446    +    1.5e-233  773.7  22.0  -
Coxiellaceae              -          LKAP-GUTHK2_E11_087_2017_1 -               23     964      14     949       3     951    1475    +    3.7e-233  772.2  22.3  -
Rhodanobacteraceae        -          LKAP-GUTHK2_E11_087_2017_1 -               24     959      14     949       4     950    1473    +    2.2e-231  766.4  21.9  -
Arenicellaceae            -          LKAP-GUTHK2_E11_087_2017_1 -               24     951      15     949       5     951    1488    +    1.2e-229  760.8  22.1  -
