# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               18    1119      10    1091       2    1100    1474    +           0 1121.9  10.8  -
Ferrimonadaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               15    1113       7    1085       2    1096    1475    +    1.3e-301  999.1  10.7  -
Enterobacteriaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               19    1103      11    1085       2    1097    1465    +      2e-301  998.7  10.6  -
Alteromonadales           -          LKAP-GUTHK2_D08_058_2017_1 -               22    1112      14    1093       3    1100    1468    +    1.6e-299  992.1  10.6  -
Erwiniaceae               -          LKAP-GUTHK2_D08_058_2017_1 -               14    1100      11    1087       2    1099    1483    +    9.3e-299  989.9  10.6  -
Shewanellaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               18    1105      10    1085       2    1097    1483    +      2e-298  988.7  10.7  -
Morganellaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               20    1107       9    1086       2    1099    1487    +    1.1e-297  986.4  10.6  -
Yersiniaceae              -          LKAP-GUTHK2_D08_058_2017_1 -               18    1109      10    1091       2    1100    1473    +    1.2e-297  986.2  10.7  -
Hafniaceae                -          LKAP-GUTHK2_D08_058_2017_1 -               16    1097      14    1085       2    1099    1459    +    1.1e-296  982.8  10.6  -
Pectobacteriaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               14    1101       9    1086       2    1100    1477    +      4e-296  981.1  10.8  -
Aeromonadaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               30    1121      10    1089       2    1099    1496    +    9.1e-296  979.7  10.7  -
Gammaproteobacteria       -          LKAP-GUTHK2_D08_058_2017_1 -               16    1107       8    1090       2    1099    1481    +    8.9e-294  973.1  10.6  -
Alteromonadaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               20    1107      12    1090       3    1099    1468    +      2e-291  965.5  10.9  -
Pseudoalteromonadaceae    -          LKAP-GUTHK2_D08_058_2017_1 -               19    1101      11    1087       2    1099    1469    +    3.7e-291  964.6  10.1  -
Budviciaceae              -          LKAP-GUTHK2_D08_058_2017_1 -                9    1100      11    1092       3    1100    1483    +    9.9e-291  963.2  10.7  -
Oceanospirillaceae        -          LKAP-GUTHK2_D08_058_2017_1 -               21    1106      13    1087       3    1099    1467    +    2.2e-284  942.1  10.6  -
Colwelliaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               22    1101      14    1082       3    1096    1467    +    3.9e-284  941.4  10.6  -
Idiomarinaceae            -          LKAP-GUTHK2_D08_058_2017_1 -               20    1104      12    1085       2    1098    1466    +    1.9e-283  938.9  10.6  -
Psychromonadaceae         -          LKAP-GUTHK2_D08_058_2017_1 -               21    1106      13    1088       3    1099    1467    +    2.9e-283  938.5  10.5  -
Moritellaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               38    1120      15    1085       4    1094    1501    +    5.4e-280  927.5  10.5  -
Thorselliaceae            -          LKAP-GUTHK2_D08_058_2017_1 -                6    1069      23    1082      19    1093    1419    +    1.1e-279  926.5  10.4  -
Pasteurellaceae           -          LKAP-GUTHK2_D08_058_2017_1 -               23    1105      15    1086       3    1100    1422    +    5.1e-277  917.8  10.5  -
Chromatiaceae             -          LKAP-GUTHK2_D08_058_2017_1 -               15    1099       7    1092       2    1100    1455    +    2.6e-273  905.5  11.4  -
Orbaceae                  -          LKAP-GUTHK2_D08_058_2017_1 -               49    1132      14    1090       3    1100    1539    +      2e-272  902.5  10.7  -
Oceanospirillales         -          LKAP-GUTHK2_D08_058_2017_1 -               25    1107      11    1084       2    1098    1489    +    4.7e-272  901.1  10.9  -
Celerinatantimonadaceae   -          LKAP-GUTHK2_D08_058_2017_1 -               15    1110      12    1085       3    1099    1433    +    8.4e-271  897.2  10.7  -
Pseudomonadaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               24    1108       9    1086       2    1097    1491    +    8.4e-271  897.1  10.7  -
Cellvibrionaceae          -          LKAP-GUTHK2_D08_058_2017_1 -               17    1108       9    1091       2    1099    1472    +    1.6e-270  896.2  10.9  -
Piscirickettsiaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               16    1109       6    1088       2    1099    1466    +    3.3e-267  885.2  10.9  -
Succinivibrionaceae       -          LKAP-GUTHK2_D08_058_2017_1 -               29    1081      17    1086       4    1098    1473    +    4.9e-267  884.7  10.3  -
