# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_F11_085   -               27     936      16     924       2     924    1474    +           0 1131.9  25.8  -
Ferrimonadaceae           -          LKAP-GutHK_F11_085   -               22     936      13     924       1     924    1475    +    5.2e-301  996.8  26.2  -
Aeromonadaceae            -          LKAP-GutHK_F11_085   -               40     940      17     924       2     924    1496    +    5.3e-295  976.9  24.9  -
Enterobacteriaceae        -          LKAP-GutHK_F11_085   -               27     926      16     924       2     924    1465    +    7.1e-295  976.8  25.1  -
Alteromonadales           -          LKAP-GutHK_F11_085   -               71     927      68     924      47     924    1468    +    7.7e-294  973.0  23.9  -
Erwiniaceae               -          LKAP-GutHK_F11_085   -               62     921      64     924      42     924    1483    +    8.2e-293  969.9  24.1  -
Gammaproteobacteria       -          LKAP-GutHK_F11_085   -               27     925      16     924       2     924    1481    +      1e-292  969.4  25.1  -
Yersiniaceae              -          LKAP-GutHK_F11_085   -               27     926      16     924       2     924    1473    +    2.8e-291  964.8  25.1  -
Shewanellaceae            -          LKAP-GutHK_F11_085   -               27     928      16     924       2     924    1483    +    9.2e-291  963.1  25.1  -
Alteromonadaceae          -          LKAP-GutHK_F11_085   -               27     925      16     924       2     924    1468    +    9.3e-291  963.0  25.2  -
Pectobacteriaceae         -          LKAP-GutHK_F11_085   -               24     923      16     924       2     924    1477    +    6.3e-290  960.3  25.2  -
Pseudoalteromonadaceae    -          LKAP-GutHK_F11_085   -               27     922      16     924       2     924    1469    +    8.6e-287  949.8  24.3  -
Hafniaceae                -          LKAP-GutHK_F11_085   -               21     920      16     924       2     924    1459    +    6.5e-286  946.9  25.2  -
Morganellaceae            -          LKAP-GutHK_F11_085   -               30     929      16     924       2     924    1487    +    1.2e-284  943.0  25.3  -
Colwelliaceae             -          LKAP-GutHK_F11_085   -               27     927      16     924       2     924    1467    +    9.7e-282  933.2  24.9  -
Budviciaceae              -          LKAP-GutHK_F11_085   -               59     916      66     924      43     924    1483    +    3.1e-281  931.4  24.1  -
Idiomarinaceae            -          LKAP-GutHK_F11_085   -               26     927      15     924       2     924    1466    +    1.3e-280  929.3  25.1  -
Oceanospirillaceae        -          LKAP-GutHK_F11_085   -               27     927      16     924       2     924    1467    +    1.7e-280  929.0  25.0  -
Cellvibrionaceae          -          LKAP-GutHK_F11_085   -               27     925      16     924       2     924    1472    +    7.1e-276  913.7  25.3  -
Oceanospirillales         -          LKAP-GutHK_F11_085   -               33     931      16     924       2     924    1489    +    1.4e-275  912.6  25.4  -
Moritellaceae             -          LKAP-GutHK_F11_085   -               42     943      16     924       2     924    1501    +    2.7e-275  911.7  24.9  -
Psychromonadaceae         -          LKAP-GutHK_F11_085   -               27     926      16     924       2     924    1467    +    2.9e-275  911.8  24.8  -
Chromatiaceae             -          LKAP-GutHK_F11_085   -               27     915      16     924       2     924    1455    +    8.8e-275  910.2  25.5  -
Thorselliaceae            -          LKAP-GutHK_F11_085   -               38     895      66     924      43     924    1419    +    2.8e-274  908.4  24.1  -
Pseudomonadaceae          -          LKAP-GutHK_F11_085   -               34     930      16     924       2     924    1491    +    4.3e-274  907.8  25.2  -
Alcanivoracaceae          -          LKAP-GutHK_F11_085   -               47     945      16     924       2     924    1504    +    1.6e-270  895.8  25.3  -
Piscirickettsiaceae       -          LKAP-GutHK_F11_085   -               67     929      64     924      39     924    1466    +    1.5e-269  892.7  24.0  -
Methylococcaceae          -          LKAP-GutHK_F11_085   -               41     933      16     924       4     924    1481    +    1.2e-265  879.8  25.3  -
Halieaceae                -          LKAP-GutHK_F11_085   -               35     926      16     924       2     924    1484    +    5.9e-265  877.5  25.4  -
Hahellaceae               -          LKAP-GutHK_F11_085   -               22     924      13     924       2     924    1473    +    3.4e-264  875.1  25.3  -
Orbaceae                  -          LKAP-GutHK_F11_085   -               93     950      67     924      46     924    1539    +    1.1e-263  873.3  23.9  -
Pasteurellaceae           -          LKAP-GutHK_F11_085   -               69     927      64     924      41     924    1422    +    1.3e-262  869.8  23.8  -
Moraxellaceae             -          LKAP-GutHK_F11_085   -               24     917      16     924       2     924    1468    +    3.7e-262  868.5  25.2  -
Celerinatantimonadaceae   -          LKAP-GutHK_F11_085   -               23     933      17     924       2     924    1433    +    1.4e-260  863.1  24.8  -
Succinivibrionaceae       -          LKAP-GutHK_F11_085   -               75     903      67     924      45     924    1473    +    4.4e-260  861.4  23.8  -
Ectothiorhodospiraceae    -          LKAP-GutHK_F11_085   -               34     932      16     924       3     924    1463    +    4.9e-260  861.4  25.2  -
Microbulbiferaceae        -          LKAP-GutHK_F11_085   -               27     919      16     924       2     924    1480    +    7.8e-260  860.7  25.3  -
Halomonadaceae            -          LKAP-GutHK_F11_085   -               27     925      16     924       2     924    1466    +    1.8e-259  859.2  25.4  -
Thioalkalispiraceae       -          LKAP-GutHK_F11_085   -               80     944      63     924      40     924    1479    +    2.5e-259  858.8  23.8  -
Spongiibacteraceae        -          LKAP-GutHK_F11_085   -               30     923      16     924       2     924    1462    +    4.5e-259  857.9  25.0  -
Lysobacteraceae           -          LKAP-GutHK_F11_085   -               28     928      16     924       2     924    1484    +    1.8e-258  856.1  25.4  -
Halothiobacillaceae       -          LKAP-GutHK_F11_085   -               44     944      16     924       4     924    1500    +    4.3e-257  851.5  25.1  -
Thermoleophilaceae        -          LKAP-GutHK_F11_085   -               20     927      16     924       3     924    1494    +    4.8e-257  851.2  24.9  -
Saccharospirillaceae      -          LKAP-GutHK_F11_085   -               30     919      17     924       2     924    1468    +      1e-256  850.2  24.7  -
Litoricolaceae            -          LKAP-GutHK_F11_085   -               35     932      16     924       2     924    1474    +    2.4e-256  849.1  25.2  -
Kangiellaceae             -          LKAP-GutHK_F11_085   -               37     938      17     924       4     924    1479    +    5.3e-252  834.5  24.7  -
Chromobacteriaceae        -          LKAP-GutHK_F11_085   -               27     918      17     924       2     924    1460    +    3.7e-250  828.6  25.2  -
Thiotrichaceae            -          LKAP-GutHK_F11_085   -               27     882      16     924       4     924    1421    +    8.3e-249  824.0  24.3  -
Cardiobacteriaceae        -          LKAP-GutHK_F11_085   -               36     930      17     924       4     924    1464    +    6.9e-247  818.0  24.7  -
Nevskiaceae               -          LKAP-GutHK_F11_085   -               66     920      68     924      47     924    1470    +    4.8e-246  815.1  23.9  -
Arenicellaceae            -          LKAP-GutHK_F11_085   -               47     920      43     924      22     924    1488    +    3.9e-245  812.0  24.5  -
Rhodocyclaceae            -          LKAP-GutHK_F11_085   -               27     923      16     924       2     924    1484    +    1.7e-244  809.8  25.6  -
Legionellaceae            -          LKAP-GutHK_F11_085   -               63     924      64     924      41     924    1446    +    2.3e-244  809.4  24.0  -
Granulosicoccaceae        -          LKAP-GutHK_F11_085   -               68     927      65     924      44     924    1471    +    7.2e-244  807.7  24.3  -
Coxiellaceae              -          LKAP-GutHK_F11_085   -               27     933      16     924       8     924    1475    +    2.1e-243  806.1  24.9  -
Rhodanobacteraceae        -          LKAP-GutHK_F11_085   -               29     928      17     924       2     924    1473    +    1.6e-242  803.3  25.3  -
Rhodospirillaceae         -          LKAP-GutHK_F11_085   -               55     874      66     924      45     924    1429    +    3.5e-242  802.3  23.5  -
Burkholderiaceae          -          LKAP-GutHK_F11_085   -               56     919      59     924      36     924    1482    +    2.2e-239  792.9  24.2  -
Thiotrichales             -          LKAP-GutHK_F11_085   -               47     945      16     924       3     924    1519    +    2.5e-239  792.3  24.3  -
Acidiferrobacteraceae     -          LKAP-GutHK_F11_085   -               59     917      65     924      45     924    1454    +    4.7e-239  791.8  24.2  -
Neisseriaceae             -          LKAP-GutHK_F11_085   -               80     940      63     924      42     924    1477    +    3.3e-236  782.4  24.1  -
Alcaligenaceae            -          LKAP-GutHK_F11_085   -               63     922      63     924      40     924    1467    +    1.7e-235  780.0  23.9  -
Hydrogenophilaceae        -          LKAP-GutHK_F11_085   -               27     920      16     923       3     924    1461    +    3.5e-235  779.1  25.0  -
Sulfuricellaceae          -          LKAP-GutHK_F11_085   -               64     924      64     924      44     924    1463    +    9.4e-235  777.5  23.9  -
Methylophilaceae          -          LKAP-GutHK_F11_085   -               11     910      17     924      11     924    1431    +      5e-234  775.2  24.2  -
Salinisphaeraceae         -          LKAP-GutHK_F11_085   -               15     911      16     924       3     924    1429    +      1e-231  767.5  25.3  -
Geobacteraceae            -          LKAP-GutHK_F11_085   -               35     947      16     924       2     924    1487    +    1.4e-231  766.9  25.0  -
Oxalobacteraceae          -          LKAP-GutHK_F11_085   -               52     921      53     924      25     924    1459    +    3.1e-231  765.9  24.3  -
Deltaproteobacteria       -          LKAP-GutHK_F11_085   -               44     958      17     924       2     924    1514    +      4e-231  765.5  25.0  -
Hyphomicrobiaceae         -          LKAP-GutHK_F11_085   -               55     870      68     924      47     924    1427    +      5e-231  765.2  23.4  -
Sutterellaceae            -          LKAP-GutHK_F11_085   -               65     923      64     924      42     924    1487    +    7.1e-230  761.2  23.9  -
Rhodobiaceae              -          LKAP-GutHK_F11_085   -               52     878      44     924      14     924    1440    +    4.3e-229  759.0  23.5  -
Thermithiobacillaceae     -          LKAP-GutHK_F11_085   -               12     905      16     924      12     924    1419    +      9e-229  757.7  24.5  -
Desulfobacteraceae        -          LKAP-GutHK_F11_085   -               46     958      26     924       6     924    1516    +    9.7e-229  757.5  24.5  -
Burkholderiales           -          LKAP-GutHK_F11_085   -               56     920      59     924      34     924    1463    +    9.9e-229  757.5  24.3  -
Francisellaceae           -          LKAP-GutHK_F11_085   -               43     927      21     924       4     924    1508    +    1.5e-228  756.9  24.5  -
Eubacteriaceae            -          LKAP-GutHK_F11_085   -               41     926      16     924       2     924    1485    +    3.4e-228  755.7  25.9  -
Nitrosomonadaceae         -          LKAP-GutHK_F11_085   -               62     922      63     924      40     924    1461    +    2.1e-227  753.3  24.0  -
Desulfobulbaceae          -          LKAP-GutHK_F11_085   -               28     941      16     924       2     924    1483    +    2.2e-227  753.0  25.3  -
Syntrophaceae             -          LKAP-GutHK_F11_085   -               55     957      31     924      10     924    1551    +    2.7e-227  752.7  24.1  -
Desulfovibrionaceae       -          LKAP-GutHK_F11_085   -               42     948      16     924       2     924    1527    +    5.5e-227  751.8  25.2  -
Clostridiaceae            -          LKAP-GutHK_F11_085   -               41     915      16     924       2     924    1485    +    2.1e-226  749.7  25.2  -
Desulfuromonadaceae       -          LKAP-GutHK_F11_085   -               45     957      17     924       2     924    1518    +    2.6e-226  749.5  25.2  -
Azonexaceae               -          LKAP-GutHK_F11_085   -               29     925      17     924       4     924    1474    +    7.1e-226  748.2  24.7  -
Clostridiales             -          LKAP-GutHK_F11_085   -               34     919      16     924       2     924    1470    +    1.2e-225  747.3  25.1  -
Acetobacteraceae          -          LKAP-GutHK_F11_085   -               58     876      68     924      46     924    1438    +    4.1e-225  745.8  23.9  -
Acidithiobacillaceae      -          LKAP-GutHK_F11_085   -               27     917      17     924       6     924    1457    +    4.5e-225  745.3  25.1  -
Methylothermaceae         -          LKAP-GutHK_F11_085   -               48     947      16     924       1     924    1491    +    1.4e-224  743.7  26.1  -
Alphaproteobacteria       -          LKAP-GutHK_F11_085   -               53     868      68     924      47     924    1409    +    2.2e-224  743.4  23.5  -
Syntrophomonadaceae       -          LKAP-GutHK_F11_085   -               44     952      16     924       2     924    1515    +    1.3e-223  740.4  25.2  -
Thiobacilliaceae          -          LKAP-GutHK_F11_085   -               80     940      64     924      42     924    1517    +    8.8e-223  737.8  24.3  -
Methylocystaceae          -          LKAP-GutHK_F11_085   -               64     880      67     924      45     924    1424    +    2.2e-222  736.7  23.5  -
Sphingomonadaceae         -          LKAP-GutHK_F11_085   -               59     876      67     924      47     924    1434    +      3e-222  736.4  22.9  -
Comamonadaceae            -          LKAP-GutHK_F11_085   -               27     919      16     924       2     924    1466    +    8.1e-222  734.4  25.2  -
Zoogloeaceae              -          LKAP-GutHK_F11_085   -               67     928      63     924      42     924    1474    +      1e-221  734.2  23.9  -
Desulfohalobiaceae        -          LKAP-GutHK_F11_085   -               33     952      16     924       2     924    1509    +    1.3e-221  733.9  25.5  -
Sneathiellaceae           -          LKAP-GutHK_F11_085   -               33     883      17     924       2     924    1427    +    1.2e-220  730.8  24.0  -
Bdellovibrionaceae        -          LKAP-GutHK_F11_085   -               24     895      17     924       2     924    1430    +    2.3e-220  729.8  25.3  -
Wenzhouxiangellaceae      -          LKAP-GutHK_F11_085   -               70     931      67     924      47     924    1472    +    3.7e-219  725.6  23.5  -
Hyphomonadaceae           -          LKAP-GutHK_F11_085   -               52     868      67     924      45     924    1400    +    3.4e-218  722.9  22.8  -
Rhizobiales               -          LKAP-GutHK_F11_085   -               60     878      65     924      40     924    1438    +      5e-218  722.3  23.1  -
Peptococcaceae            -          LKAP-GutHK_F11_085   -               34     912      16     924       2     924    1479    +    7.4e-218  721.3  25.7  -
Syntrophobacteraceae      -          LKAP-GutHK_F11_085   -               41     949      26     924       5     924    1496    +    1.3e-217  720.9  24.7  -
Xanthobacteraceae         -          LKAP-GutHK_F11_085   -               53     866      70     924      49     924    1415    +    2.8e-217  719.7  23.3  -
Rhodobacteraceae          -          LKAP-GutHK_F11_085   -               51     870      64     924      43     924    1402    +    4.3e-217  719.1  23.1  -
Erythrobacteraceae        -          LKAP-GutHK_F11_085   -               53     870      67     924      24     924    1433    +    4.5e-217  719.1  22.9  -
Anaplasmataceae           -          LKAP-GutHK_F11_085   -               38     900      16     924       2     924    1441    +    5.8e-216  715.5  24.0  -
Phyllobacteriaceae        -          LKAP-GutHK_F11_085   -               51     867      67     924      47     924    1424    +    1.7e-215  713.8  23.0  -
Rhizobiaceae              -          LKAP-GutHK_F11_085   -               51     867      67     924      45     924    1422    +    3.5e-215  712.8  23.0  -
Ruminococcaceae           -          LKAP-GutHK_F11_085   -               27     917      16     924       2     924    1457    +      6e-215  711.8  25.8  -
Acidobacteria             -          LKAP-GutHK_F11_085   -               81     957      65     924      43     924    1505    +      4e-214  709.6  24.0  -
Brucellaceae              -          LKAP-GutHK_F11_085   -               57     871      69     924      49     924    1411    +    9.8e-212  701.4  23.0  -
Lachnospiraceae           -          LKAP-GutHK_F11_085   -               27     916      16     924       2     924    1469    +    2.2e-211  700.0  25.8  -
Methylobacteriaceae       -          LKAP-GutHK_F11_085   -               28     870      17     924       2     924    1426    +    3.3e-211  699.5  24.8  -
Deferribacteraceae        -          LKAP-GutHK_F11_085   -               55     936      45     924      23     924    1513    +      4e-211  699.0  24.2  -
Bacillales                -          LKAP-GutHK_F11_085   -               34     949      16     924       2     924    1503    +    5.8e-211  698.8  25.0  -
Thermoanaerobacteraceae   -          LKAP-GutHK_F11_085   -               33     923      16     924       2     924    1492    +    8.4e-211  697.9  26.4  -
Peptostreptococcaceae     -          LKAP-GutHK_F11_085   -               27     900      16     924       2     924    1441    +    1.1e-210  697.6  25.2  -
Aurantimonadaceae         -          LKAP-GutHK_F11_085   -               69     885      67     924      47     924    1442    +    1.4e-210  697.6  23.0  -
Kordiimonadaceae          -          LKAP-GutHK_F11_085   -               37     879      30     924       9     924    1421    +    8.8e-210  695.0  23.6  -
Holophagaceae             -          LKAP-GutHK_F11_085   -               77     942      74     924      63     924    1502    +    9.9e-210  694.7  23.5  -
Synergistaceae            -          LKAP-GutHK_F11_085   -               27     899      16     924       2     924    1450    +    1.1e-209  694.4  27.2  -
Beijerinckiaceae          -          LKAP-GutHK_F11_085   -               67     881      69     924      49     924    1421    +    1.2e-209  694.3  23.3  -
Kiloniellaceae            -          LKAP-GutHK_F11_085   -               68     897      45     924      10     924    1450    +    2.7e-209  693.0  23.8  -
Nautiliaceae              -          LKAP-GutHK_F11_085   -               27     893      16     924       2     924    1431    +      3e-209  693.3  25.2  -
Bradyrhizobiaceae         -          LKAP-GutHK_F11_085   -               57     870      70     924      49     924    1428    +    1.3e-208  690.8  23.4  -
Lactobacillaceae          -          LKAP-GutHK_F11_085   -               30     967      16     924       2     924    1522    +    2.4e-208  690.0  25.1  -
Desulfarculaceae          -          LKAP-GutHK_F11_085   -               44     953      28     924       6     924    1516    +    1.2e-207  687.8  24.4  -
Bacteroidaceae            -          LKAP-GutHK_F11_085   -               36     937      16     924       9     924    1480    +    1.7e-207  687.1  25.0  -
Spirochaetaceae           -          LKAP-GutHK_F11_085   -               31     932      14     924       1     924    1486    +    3.7e-207  686.1  25.6  -
Streptomycetaceae         -          LKAP-GutHK_F11_085   -               37     903      30     924      10     924    1479    +    1.1e-206  684.6  25.3  -
Bacillaceae               -          LKAP-GutHK_F11_085   -               24     942      15     924       1     924    1493    +    1.1e-206  684.5  25.6  -
Haliangiaceae             -          LKAP-GutHK_F11_085   -               43     956      16     924       2     924    1507    +    1.1e-206  684.5  25.9  -
Paenibacillaceae          -          LKAP-GutHK_F11_085   -               28     941      16     924       2     924    1493    +    1.9e-206  683.8  25.2  -
Thermoactinomycetaceae    -          LKAP-GutHK_F11_085   -               35     938      16     924       2     924    1495    +    6.4e-206  682.2  24.9  -
Caulobacteraceae          -          LKAP-GutHK_F11_085   -               53     868      68     924      23     924    1415    +    8.4e-206  681.6  22.6  -
Thermoanaerobacterales    -          LKAP-GutHK_F11_085   -               34     925      15     924       1     924    1472    +      9e-206  681.4  26.8  -
Desulfomicrobiaceae       -          LKAP-GutHK_F11_085   -               70     941      64     924      25     924    1495    +    1.6e-205  680.6  23.9  -
Helicobacteraceae         -          LKAP-GutHK_F11_085   -               87     905      67     924      46     924    1473    +    5.6e-205  678.5  22.3  -
Micrococcaceae            -          LKAP-GutHK_F11_085   -               36     917      16     923       2     924    1476    +    1.2e-204  677.7  25.2  -
Selenomonadaceae          -          LKAP-GutHK_F11_085   -               46     964      16     924       2     924    1531    +      1e-203  674.6  24.8  -
Alicyclobacillaceae       -          LKAP-GutHK_F11_085   -               47     942      16     924       2     924    1512    +    2.1e-203  673.8  25.2  -
Verrucomicrobiaceae       -          LKAP-GutHK_F11_085   -               29     927      17     924       2     924    1470    +    9.4e-203  671.6  25.3  -
Chelatococcaceae          -          LKAP-GutHK_F11_085   -               39     879      17     924       2     924    1439    +    2.3e-202  670.4  24.4  -
Erysipelotrichaceae       -          LKAP-GutHK_F11_085   -               33     920      17     924       6     924    1466    +    5.7e-202  669.0  24.9  -
Fusobacteriaceae          -          LKAP-GutHK_F11_085   -               74     908      68     924      33     924    1458    +    6.3e-202  668.8  24.5  -
Halobacteriovoracaceae    -          LKAP-GutHK_F11_085   -               33     939      26     924      10     924    1480    +    1.6e-201  667.2  24.3  -
Bacteriovoracaceae        -          LKAP-GutHK_F11_085   -               62     934      68     924      47     924    1473    +    1.8e-201  667.1  23.7  -
Polyangiaceae             -          LKAP-GutHK_F11_085   -               81     955      68     924      47     924    1548    +    1.1e-200  664.6  24.3  -
Patulibacteraceae         -          LKAP-GutHK_F11_085   -               80     936      63     924      43     924    1494    +    2.2e-200  663.4  23.9  -
Heliobacteriaceae         -          LKAP-GutHK_F11_085   -               44     922      16     924       4     924    1500    +      3e-200  663.2  25.3  -
Rubrobacteraceae          -          LKAP-GutHK_F11_085   -               31     929      24     923       4     924    1495    +    4.4e-200  662.6  25.2  -
Rhodothermaceae           -          LKAP-GutHK_F11_085   -               37     916      30     924       7     924    1457    +    8.6e-200  661.7  24.6  -
Campylobacteraceae        -          LKAP-GutHK_F11_085   -               73     903      70     924      42     924    1429    +    1.1e-199  660.9  23.1  -
Cohaesibacteraceae        -          LKAP-GutHK_F11_085   -               41     887      10     924       1     924    1425    +    1.4e-199  661.0  24.1  -
Bartonellaceae            -          LKAP-GutHK_F11_085   -               55     869      69     924      49     924    1410    +    3.7e-199  659.6  23.3  -
Spirillaceae              -          LKAP-GutHK_F11_085   -               45     945      18     924       4     924    1447    +    9.7e-199  658.3  24.4  -
Aerococcaceae             -          LKAP-GutHK_F11_085   -               27     939      16     924       3     924    1473    +    1.1e-198  658.0  24.4  -
Parvularculaceae          -          LKAP-GutHK_F11_085   -               72     888      67     924      26     924    1428    +    1.2e-198  658.2  22.7  -
Planococcaceae            -          LKAP-GutHK_F11_085   -               27     936      16     924       2     924    1491    +    2.7e-198  656.6  25.1  -
Carnobacteriaceae         -          LKAP-GutHK_F11_085   -               28     939      17     924       2     924    1496    +    6.8e-198  655.4  24.8  -
Rickettsiaceae            -          LKAP-GutHK_F11_085   -               70     880      71     923      51     924    1430    +    1.1e-197  654.8  22.7  -
Mycoplasmataceae          -          LKAP-GutHK_F11_085   -               23     908      17     924      12     924    1467    +    1.2e-197  654.7  23.7  -
Leptospiraceae            -          LKAP-GutHK_F11_085   -               55     896      70     924      50     924    1431    +    1.4e-197  654.2  23.1  -
Streptococcaceae          -          LKAP-GutHK_F11_085   -               34     945      17     924       2     924    1497    +    1.5e-197  654.2  24.7  -
Cystobacteraceae          -          LKAP-GutHK_F11_085   -               59     934      67     924      46     924    1491    +    1.6e-197  654.0  23.6  -
Halanaerobiaceae          -          LKAP-GutHK_F11_085   -               35     956      16     924       2     924    1503    +    2.8e-197  653.1  25.5  -
Oleiphilaceae             -          LKAP-GutHK_F11_085   -               37     922      17     923       2     924    1437    +    4.3e-197  652.5  25.3  -
Brevibacteriaceae         -          LKAP-GutHK_F11_085   -               81     921      69     923      46     924    1487    +    8.9e-197  651.5  23.8  -
Staphylococcaceae         -          LKAP-GutHK_F11_085   -               29     936      16     924       2     924    1479    +    1.5e-196  650.9  24.5  -
Nitrospiraceae            -          LKAP-GutHK_F11_085   -               33     910      16     924       2     924    1479    +      2e-196  650.4  25.3  -
Pseudonocardiaceae        -          LKAP-GutHK_F11_085   -               33     911      16     924       2     924    1475    +    3.1e-196  649.9  25.8  -
Veillonellaceae           -          LKAP-GutHK_F11_085   -               49     925      68     924      46     924    1450    +    3.1e-196  649.6  23.9  -
Myxococcaceae             -          LKAP-GutHK_F11_085   -               75     950      67     924      47     924    1517    +    3.9e-196  649.4  23.8  -
Desulfonatronaceae        -          LKAP-GutHK_F11_085   -               28     936      17     924       2     924    1495    +    1.6e-195  647.4  25.1  -
Thermolithobacteraceae    -          LKAP-GutHK_F11_085   -               94     971      69     924      41     924    1546    +    1.8e-195  647.1  24.1  -
Propionibacteriaceae      -          LKAP-GutHK_F11_085   -               32     908      17     923       2     924    1462    +    2.4e-195  647.0  25.3  -
Calditrichaeota           -          LKAP-GutHK_F11_085   -               67     943      61     924      27     924    1483    +    3.2e-195  646.6  23.9  -
Porticoccaceae            -          LKAP-GutHK_F11_085   -               38     926      19     923       2     924    1497    +    4.5e-195  645.8  25.4  -
Flammeovirgaceae          -          LKAP-GutHK_F11_085   -               27     915      16     924       2     924    1446    +      1e-194  645.0  24.7  -
Nocardiaceae              -          LKAP-GutHK_F11_085   -               27     902      16     924       2     924    1472    +    2.6e-194  643.6  26.3  -
Microbacteriaceae         -          LKAP-GutHK_F11_085   -               73     910      70     923      48     924    1464    +    3.9e-194  642.8  23.8  -
Nannocystaceae            -          LKAP-GutHK_F11_085   -               47     933      26     924       6     924    1487    +    4.8e-194  642.6  24.5  -
Acidimicrobiaceae         -          LKAP-GutHK_F11_085   -               57     924      30     923       9     924    1464    +    5.5e-194  642.5  24.3  -
Salinibacteraceae         -          LKAP-GutHK_F11_085   -               94     946      68     924      47     924    1497    +    5.8e-194  642.4  24.4  -
Intrasporangiaceae        -          LKAP-GutHK_F11_085   -               71     908      70     923      46     924    1461    +    1.4e-193  641.0  24.0  -
Nakamurellaceae           -          LKAP-GutHK_F11_085   -               28     900      17     922       2     924    1462    +    1.6e-193  640.8  25.7  -
Oscillatoriales           -          LKAP-GutHK_F11_085   -               56     873      70     924      49     924    1445    +    6.5e-193  639.0  23.3  -
Leuconostocaceae          -          LKAP-GutHK_F11_085   -               75     940      67     924      38     924    1479    +    7.3e-193  638.8  23.5  -
Sporolactobacillaceae     -          LKAP-GutHK_F11_085   -               27     933      16     924       2     924    1503    +    1.2e-192  637.9  24.4  -
